checkpoint,step,K,accepted_specs,cycles,fraction
orig400,400,2,0,136,0.46897
orig400,400,2,1,154,0.53103
orig400,400,4,0,136,0.49817
orig400,400,4,1,96,0.35165
orig400,400,4,2,33,0.12088
orig400,400,4,3,8,0.0293
step-400,400,2,0,140,0.47945
step-400,400,2,1,152,0.52055
step-400,400,4,0,129,0.4708
step-400,400,4,1,106,0.38686
step-400,400,4,2,36,0.13139
step-400,400,4,3,3,0.01095
step-800,800,2,0,123,0.4331
step-800,800,2,1,161,0.5669
step-800,800,4,0,113,0.4313
step-800,800,4,1,98,0.37405
step-800,800,4,2,38,0.14504
step-800,800,4,3,13,0.04962
step-1200,1200,2,0,112,0.4
step-1200,1200,2,1,168,0.6
step-1200,1200,4,0,101,0.39453
step-1200,1200,4,1,98,0.38281
step-1200,1200,4,2,47,0.18359
step-1200,1200,4,3,10,0.03906
step-1600,1600,2,0,130,0.45296
step-1600,1600,2,1,157,0.54704
step-1600,1600,4,0,112,0.43077
step-1600,1600,4,1,94,0.36154
step-1600,1600,4,2,39,0.15
step-1600,1600,4,3,15,0.05769
step-2400,2400,2,0,103,0.37184
step-2400,2400,2,1,174,0.62816
step-2400,2400,4,0,91,0.36694
step-2400,2400,4,1,90,0.3629
step-2400,2400,4,2,44,0.17742
step-2400,2400,4,3,23,0.09274
step-3200,3200,2,0,108,0.38571
step-3200,3200,2,1,172,0.61429
step-3200,3200,4,0,84,0.34426
step-3200,3200,4,1,94,0.38525
step-3200,3200,4,2,42,0.17213
step-3200,3200,4,3,24,0.09836
