checkpoint,step,K,val_tv,tf_agree_specs,tf_mean_accepted_prefix,tf_full_block_rate,free_acceptance_rate,free_mean_accepted_specs,free_full_block_rate,tpf,forwards_per_token,proposal_ms,verify_ms,commit_ms,tok_s_median,tok_s_std,speedup_vs_ar,predicted_tok_s,cost_model_error_pct,ar_agreement,ar_baseline_tok_s,backbone_unchanged,acc_plus_1,acc_plus_2,acc_plus_3,acc_plus_4,draft_q1_accept,draft_q2_accept,draft_q3_accept,draft_q4_accept,draft_q5_accept,draft_pearson_gap,draft_pearson_entropy
orig400,400,2,0.57421,0.40625,0.40625,0.40625,0.531,0.531,0.531,1.21008,0.82639,24.7769,22.512,0.3287,49.25,2.797,1.0186,53.153,7.924,0.8528,48.349,True,0.40625,,,,0.27632,0.21053,0.22368,0.15789,0.1375,-0.15116,-0.17213
step-400,400,2,0.61206,0.33594,0.33594,0.33594,0.5205,0.5205,0.5205,1.202,0.83194,24.0451,22.0101,0.3219,50.461,3.523,1.0437,54.349,7.705,0.8528,48.349,True,0.33594,,,,0.38158,0.25,0.21053,0.17105,0.1125,-0.23435,-0.13576
step-800,800,2,0.55024,0.39844,0.39844,0.39844,0.5669,0.5669,0.5669,1.23499,0.80972,24.0878,22.0457,0.317,50.733,3.196,1.0493,55.261,8.925,0.8528,48.349,True,0.39844,,,,0.31579,0.28947,0.21053,0.21053,0.1875,-0.132,-0.19289
step-1200,1200,2,0.54957,0.4375,0.4375,0.4375,0.6,0.6,0.6,1.25217,0.79861,24.1101,22.0774,0.3183,52.705,2.505,1.0901,55.907,6.075,0.8528,48.349,True,0.4375,,,,0.32895,0.26316,0.27632,0.18421,0.2375,-0.15036,-0.20932
step-1600,1600,2,0.56082,0.38281,0.38281,0.38281,0.547,0.547,0.547,1.22241,0.81806,24.0805,22.0469,0.3183,50.34,3.369,1.0412,54.839,8.937,0.8528,48.349,True,0.38281,,,,0.31579,0.31579,0.15789,0.26316,0.1875,-0.16295,-0.20951
step-2400,2400,2,0.54489,0.42969,0.42969,0.42969,0.6282,0.6282,0.6282,1.26538,0.79028,24.3155,22.3136,0.3334,52.06,3.28,1.0768,55.963,7.498,0.8528,48.349,True,0.42969,,,,0.39474,0.23684,0.19737,0.26316,0.25,-0.16789,-0.23105
step-3200,3200,2,0.53679,0.44531,0.44531,0.44531,0.6143,0.6143,0.6143,1.25217,0.79861,23.9614,21.9226,0.3135,52.515,3.544,1.0862,56.589,7.757,0.8528,48.349,True,0.44531,,,,0.40789,0.22368,0.28947,0.21053,0.2375,-0.2423,-0.2222
orig400,400,4,1.10107,0.22396,0.54688,0.00781,0.2271,0.6813,0.0293,1.28342,0.77917,25.214,24.3546,0.3551,51.689,5.214,1.0691,53.708,3.906,0.8528,48.349,True,0.46094,0.10938,0.10156,,0.27632,0.21053,0.22368,0.15789,0.1375,-0.15116,-0.17213
step-400,400,4,1.10415,0.22396,0.48438,0.0,0.2275,0.6825,0.0109,1.27886,0.78194,24.8164,24.0508,0.3527,51.054,6.041,1.0559,54.5,6.75,0.8528,48.349,True,0.40625,0.14062,0.125,,0.38158,0.25,0.21053,0.17105,0.1125,-0.23435,-0.13576
step-800,800,4,1.07684,0.23698,0.57031,0.02344,0.271,0.813,0.0496,1.33581,0.74861,24.7357,24.0701,0.3439,52.933,6.053,1.0948,57.233,8.123,0.8528,48.349,True,0.4375,0.1875,0.08594,,0.31579,0.28947,0.21053,0.21053,0.1875,-0.132,-0.19289
step-1200,1200,4,1.04385,0.26042,0.63281,0.03906,0.2891,0.8672,0.0391,1.36622,0.73194,24.9184,24.2913,0.3599,52.485,4.099,1.0855,57.842,10.207,0.8528,48.349,True,0.46875,0.16406,0.14844,,0.32895,0.26316,0.27632,0.18421,0.2375,-0.15036,-0.20932
step-1600,1600,4,1.03109,0.27083,0.63281,0.02344,0.2782,0.8346,0.0577,1.34579,0.74306,24.8087,24.0837,0.3504,54.636,6.03,1.13,57.564,5.359,0.8528,48.349,True,0.47656,0.19531,0.14062,,0.31579,0.31579,0.15789,0.26316,0.1875,-0.16295,-0.20951
step-2400,2400,4,1.02583,0.26302,0.63281,0.03906,0.332,0.996,0.0927,1.409,0.70972,25.1745,24.4949,0.3906,54.935,6.02,1.1362,59.848,8.944,0.8528,48.349,True,0.47656,0.15625,0.15625,,0.39474,0.23684,0.19737,0.26316,0.25,-0.16789,-0.23105
step-3200,3200,4,0.9862,0.29167,0.72656,0.03906,0.3415,1.0246,0.0984,1.43141,0.69861,24.7122,24.0227,0.3458,56.455,7.019,1.1677,61.625,9.157,0.8528,48.349,True,0.49219,0.24219,0.14062,,0.40789,0.22368,0.28947,0.21053,0.2375,-0.2423,-0.2222
