checkpoint,K,target_speedup,reachable,required_per_slot_accept,required_mean_committed,required_full_block_rate,required_tpf,actual_per_slot_accept,actual_speedup
orig400,2,1.1,True,0.5325,2.5325,0.5325,1.2662,0.531,1.0186
orig400,2,1.2,True,0.7627,2.7627,0.7627,1.3814,0.531,1.0186
orig400,2,1.3,True,0.9929,2.9929,0.9929,1.4965,0.531,1.0186
orig400,2,1.5,False,,,,,0.531,1.0186
orig400,2,2.0,False,,,,,0.531,1.0186
orig400,4,1.1,True,0.4135,2.6551,0.0707,1.3276,0.2271,1.0691
orig400,4,1.2,True,0.5078,2.8965,0.1309,1.4483,0.2271,1.0691
orig400,4,1.3,True,0.5883,3.1379,0.2036,1.5689,0.2271,1.0691
orig400,4,1.5,True,0.7223,3.6207,0.3768,1.8103,0.2271,1.0691
orig400,4,2.0,True,0.9707,4.8275,0.9146,2.4138,0.2271,1.0691
step-400,2,1.1,True,0.4665,2.4665,0.4665,1.2333,0.5205,1.0437
step-400,2,1.2,True,0.6907,2.6907,0.6907,1.3454,0.5205,1.0437
step-400,2,1.3,True,0.915,2.915,0.915,1.4575,0.5205,1.0437
step-400,2,1.5,False,,,,,0.5205,1.0437
step-400,2,2.0,False,,,,,0.5205,1.0437
step-400,4,1.1,True,0.3972,2.6177,0.0627,1.3089,0.2275,1.0559
step-400,4,1.2,True,0.4929,2.8557,0.1198,1.4278,0.2275,1.0559
step-400,4,1.3,True,0.5743,3.0937,0.1895,1.5468,0.2275,1.0559
step-400,4,1.5,True,0.7094,3.5696,0.357,1.7848,0.2275,1.0559
step-400,4,2.0,True,0.9588,4.7595,0.8814,2.3797,0.2275,1.0559
step-800,2,1.1,True,0.4704,2.4704,0.4704,1.2352,0.5669,1.0493
step-800,2,1.2,True,0.695,2.695,0.695,1.3475,0.5669,1.0493
step-800,2,1.3,True,0.9196,2.9196,0.9196,1.4598,0.5669,1.0493
step-800,2,1.5,False,,,,,0.5669,1.0493
step-800,2,2.0,False,,,,,0.5669,1.0493
step-800,4,1.1,True,0.3956,2.614,0.0619,1.307,0.271,1.0948
step-800,4,1.2,True,0.4914,2.8516,0.1187,1.4258,0.271,1.0948
step-800,4,1.3,True,0.5729,3.0892,0.1881,1.5446,0.271,1.0948
step-800,4,1.5,True,0.7081,3.5645,0.355,1.7823,0.271,1.0948
step-800,4,2.0,True,0.9576,4.7527,0.8781,2.3763,0.271,1.0948
step-1200,2,1.1,True,0.4734,2.4734,0.4734,1.2367,0.6,1.0901
step-1200,2,1.2,True,0.6982,2.6982,0.6982,1.3491,0.6,1.0901
step-1200,2,1.3,True,0.9231,2.9231,0.9231,1.4615,0.6,1.0901
step-1200,2,1.5,False,,,,,0.6,1.0901
step-1200,2,2.0,False,,,,,0.6,1.0901
step-1200,4,1.1,True,0.4054,2.6363,0.0666,1.3182,0.2891,1.0855
step-1200,4,1.2,True,0.5004,2.876,0.1253,1.438,0.2891,1.0855
step-1200,4,1.3,True,0.5813,3.1156,0.1964,1.5578,0.2891,1.0855
step-1200,4,1.5,True,0.7158,3.595,0.3668,1.7975,0.2891,1.0855
step-1200,4,2.0,True,0.9647,4.7933,0.8979,2.3967,0.2891,1.0855
step-1600,2,1.1,True,0.4702,2.4702,0.4702,1.2351,0.547,1.0412
step-1600,2,1.2,True,0.6947,2.6947,0.6947,1.3474,0.547,1.0412
step-1600,2,1.3,True,0.9193,2.9193,0.9193,1.4596,0.547,1.0412
step-1600,2,1.5,False,,,,,0.547,1.0412
step-1600,2,2.0,False,,,,,0.547,1.0412
step-1600,4,1.1,True,0.3978,2.6189,0.0629,1.3095,0.2782,1.13
step-1600,4,1.2,True,0.4934,2.857,0.1201,1.4285,0.2782,1.13
step-1600,4,1.3,True,0.5748,3.0951,0.1899,1.5476,0.2782,1.13
step-1600,4,1.5,True,0.7098,3.5713,0.3576,1.7856,0.2782,1.13
step-1600,4,2.0,True,0.9592,4.7617,0.8825,2.3808,0.2782,1.13
step-2400,2,1.1,True,0.4976,2.4976,0.4976,1.2488,0.6282,1.0768
step-2400,2,1.2,True,0.7247,2.7247,0.7247,1.3624,0.6282,1.0768
step-2400,2,1.3,True,0.9518,2.9518,0.9518,1.4759,0.6282,1.0768
step-2400,2,1.5,False,,,,,0.6282,1.0768
step-2400,2,2.0,False,,,,,0.6282,1.0768
step-2400,4,1.1,True,0.4166,2.6624,0.0723,1.3312,0.332,1.1362
step-2400,4,1.2,True,0.5106,2.9044,0.1331,1.4522,0.332,1.1362
step-2400,4,1.3,True,0.5909,3.1464,0.2063,1.5732,0.332,1.1362
step-2400,4,1.5,True,0.7247,3.6305,0.3806,1.8153,0.332,1.1362
step-2400,4,2.0,True,0.973,4.8407,0.9211,2.4204,0.332,1.1362
step-3200,2,1.1,True,0.457,2.457,0.457,1.2285,0.6143,1.0862
step-3200,2,1.2,True,0.6803,2.6803,0.6803,1.3402,0.6143,1.0862
step-3200,2,1.3,True,0.9037,2.9037,0.9037,1.4518,0.6143,1.0862
step-3200,2,1.5,False,,,,,0.6143,1.0862
step-3200,2,2.0,False,,,,,0.6143,1.0862
step-3200,4,1.1,True,0.394,2.6103,0.0611,1.3052,0.3415,1.1677
step-3200,4,1.2,True,0.4899,2.8476,0.1176,1.4238,0.3415,1.1677
step-3200,4,1.3,True,0.5715,3.0849,0.1867,1.5424,0.3415,1.1677
step-3200,4,1.5,True,0.7068,3.5595,0.3531,1.7797,0.3415,1.1677
step-3200,4,2.0,True,0.9564,4.746,0.8749,2.373,0.3415,1.1677
