checkpoint,step,block_size,quintile,n,mean_gap,acceptance,pearson_gap,pearson_entropy
orig400,400,4,1,76,1.60071,0.27632,-0.15116,-0.17213
orig400,400,4,2,76,1.86817,0.21053,-0.15116,-0.17213
orig400,400,4,3,76,1.92836,0.22368,-0.15116,-0.17213
orig400,400,4,4,76,1.96638,0.15789,-0.15116,-0.17213
orig400,400,4,5,80,1.99196,0.1375,-0.15116,-0.17213
step-400,400,4,1,76,1.60869,0.38158,-0.23435,-0.13576
step-400,400,4,2,76,1.85564,0.25,-0.23435,-0.13576
step-400,400,4,3,76,1.92299,0.21053,-0.23435,-0.13576
step-400,400,4,4,76,1.96569,0.17105,-0.23435,-0.13576
step-400,400,4,5,80,1.99228,0.1125,-0.23435,-0.13576
step-800,800,4,1,76,1.64952,0.31579,-0.132,-0.19289
step-800,800,4,2,76,1.855,0.28947,-0.132,-0.19289
step-800,800,4,3,76,1.92321,0.21053,-0.132,-0.19289
step-800,800,4,4,76,1.96667,0.21053,-0.132,-0.19289
step-800,800,4,5,80,1.99297,0.1875,-0.132,-0.19289
step-1200,1200,4,1,76,1.61011,0.32895,-0.15036,-0.20932
step-1200,1200,4,2,76,1.84894,0.26316,-0.15036,-0.20932
step-1200,1200,4,3,76,1.92715,0.27632,-0.15036,-0.20932
step-1200,1200,4,4,76,1.96872,0.18421,-0.15036,-0.20932
step-1200,1200,4,5,80,1.99257,0.2375,-0.15036,-0.20932
step-1600,1600,4,1,76,1.61286,0.31579,-0.16295,-0.20951
step-1600,1600,4,2,76,1.85912,0.31579,-0.16295,-0.20951
step-1600,1600,4,3,76,1.92253,0.15789,-0.16295,-0.20951
step-1600,1600,4,4,76,1.96389,0.26316,-0.16295,-0.20951
step-1600,1600,4,5,80,1.993,0.1875,-0.16295,-0.20951
step-2400,2400,4,1,76,1.63486,0.39474,-0.16789,-0.23105
step-2400,2400,4,2,76,1.86317,0.23684,-0.16789,-0.23105
step-2400,2400,4,3,76,1.92979,0.19737,-0.16789,-0.23105
step-2400,2400,4,4,76,1.96795,0.26316,-0.16789,-0.23105
step-2400,2400,4,5,80,1.99356,0.25,-0.16789,-0.23105
step-3200,3200,4,1,76,1.60784,0.40789,-0.2423,-0.2222
step-3200,3200,4,2,76,1.86391,0.22368,-0.2423,-0.2222
step-3200,3200,4,3,76,1.93078,0.28947,-0.2423,-0.2222
step-3200,3200,4,4,76,1.96781,0.21053,-0.2423,-0.2222
step-3200,3200,4,5,80,1.99201,0.2375,-0.2423,-0.2222
