arm,checkpoint,step,K,accepted_specs,committed_tokens,cycles,fraction
A,step-3200,3200,2,0,2,118,0.41696
A,step-3200,3200,2,1,3,165,0.58304
A,step-3200,3200,4,0,2,98,0.38889
A,step-3200,3200,4,1,3,91,0.36111
A,step-3200,3200,4,2,4,44,0.1746
A,step-3200,3200,4,3,5,19,0.0754
A,step-3200,3200,8,0,2,93,0.37805
A,step-3200,3200,8,1,3,90,0.36585
A,step-3200,3200,8,2,4,42,0.17073
A,step-3200,3200,8,3,5,14,0.05691
A,step-3200,3200,8,4,6,5,0.02033
A,step-3200,3200,8,5,7,2,0.00813
A,step-4800,4800,2,0,2,107,0.38214
A,step-4800,4800,2,1,3,173,0.61786
A,step-4800,4800,4,0,2,92,0.37097
A,step-4800,4800,4,1,3,91,0.36694
A,step-4800,4800,4,2,4,43,0.17339
A,step-4800,4800,4,3,5,22,0.08871
A,step-4800,4800,8,0,2,90,0.375
A,step-4800,4800,8,1,3,71,0.29583
A,step-4800,4800,8,2,4,59,0.24583
A,step-4800,4800,8,3,5,10,0.04167
A,step-4800,4800,8,4,6,8,0.03333
A,step-4800,4800,8,5,7,2,0.00833
A,step-6400,6400,2,0,2,109,0.38929
A,step-6400,6400,2,1,3,171,0.61071
A,step-6400,6400,4,0,2,98,0.38735
A,step-6400,6400,4,1,3,91,0.35968
A,step-6400,6400,4,2,4,49,0.19368
A,step-6400,6400,4,3,5,15,0.05929
A,step-6400,6400,8,0,2,100,0.40161
A,step-6400,6400,8,1,3,80,0.32129
A,step-6400,6400,8,2,4,54,0.21687
A,step-6400,6400,8,3,5,8,0.03213
A,step-6400,6400,8,4,6,5,0.02008
A,step-6400,6400,8,5,7,2,0.00803
A,step-8000,8000,2,0,2,117,0.41343
A,step-8000,8000,2,1,3,166,0.58657
A,step-8000,8000,4,0,2,97,0.3834
A,step-8000,8000,4,1,3,96,0.37945
A,step-8000,8000,4,2,4,42,0.16601
A,step-8000,8000,4,3,5,18,0.07115
A,step-8000,8000,8,0,2,97,0.39113
A,step-8000,8000,8,1,3,82,0.33065
A,step-8000,8000,8,2,4,52,0.20968
A,step-8000,8000,8,3,5,11,0.04435
A,step-8000,8000,8,4,6,4,0.01613
A,step-8000,8000,8,5,7,2,0.00806
A,step-9600,9600,2,0,2,105,0.37634
A,step-9600,9600,2,1,3,174,0.62366
A,step-9600,9600,4,0,2,90,0.3629
A,step-9600,9600,4,1,3,92,0.37097
A,step-9600,9600,4,2,4,45,0.18145
A,step-9600,9600,4,3,5,21,0.08468
