arm,checkpoint,K,ceiling_speedup,actual_speedup,actual_per_slot_accept,target_speedup,reachable,required_per_slot_accept,required_mean_committed,required_full_block_rate,required_tpf
A,step-3200,2,1.323,1.0832,0.583,1.1,True,0.4943,2.4943,0.4943,1.2472
A,step-3200,2,1.323,1.0832,0.583,1.2,True,0.7211,2.7211,0.7211,1.3605
A,step-3200,2,1.323,1.0832,0.583,1.3,True,0.9479,2.9479,0.9479,1.4739
A,step-3200,2,1.323,1.0832,0.583,1.5,False,,,,
A,step-3200,2,1.323,1.0832,0.583,1.75,False,,,,
A,step-3200,2,1.323,1.0832,0.583,2.0,False,,,,
A,step-3200,4,2.0722,1.1208,0.3122,1.1,True,0.4131,2.6542,0.0705,1.3271
A,step-3200,4,2.0722,1.1208,0.3122,1.2,True,0.5074,2.8955,0.1306,1.4478
A,step-3200,4,2.0722,1.1208,0.3122,1.3,True,0.5879,3.1368,0.2032,1.5684
A,step-3200,4,2.0722,1.1208,0.3122,1.5,True,0.7219,3.6194,0.3763,1.8097
A,step-3200,4,2.0722,1.1208,0.3122,1.75,True,0.8574,4.2226,0.6302,2.1113
A,step-3200,4,2.0722,1.1208,0.3122,2.0,True,0.9704,4.8259,0.9138,2.4129
A,step-3200,8,3.327,1.0637,0.1429,1.1,True,0.4957,2.9757,0.0074,1.4879
A,step-3200,8,3.327,1.0637,0.1429,1.2,True,0.5591,3.2462,0.0171,1.6231
A,step-3200,8,3.327,1.0637,0.1429,1.3,True,0.6103,3.5168,0.0315,1.7584
A,step-3200,8,3.327,1.0637,0.1429,1.5,True,0.6897,4.0578,0.0742,2.0289
A,step-3200,8,3.327,1.0637,0.1429,1.75,True,0.7629,4.7341,0.1505,2.367
A,step-3200,8,3.327,1.0637,0.1429,2.0,True,0.8193,5.4104,0.2478,2.7052
A,step-4800,2,1.3274,1.0826,0.6179,1.1,True,0.4861,2.4861,0.4861,1.2431
A,step-4800,2,1.3274,1.0826,0.6179,1.2,True,0.7122,2.7122,0.7122,1.3561
A,step-4800,2,1.3274,1.0826,0.6179,1.3,True,0.9382,2.9382,0.9382,1.4691
A,step-4800,2,1.3274,1.0826,0.6179,1.5,False,,,,
A,step-4800,2,1.3274,1.0826,0.6179,1.75,False,,,,
A,step-4800,2,1.3274,1.0826,0.6179,2.0,False,,,,
A,step-4800,4,2.0749,1.1315,0.3266,1.1,True,0.4116,2.6508,0.0697,1.3254
A,step-4800,4,2.0749,1.1315,0.3266,1.2,True,0.5061,2.8917,0.1296,1.4459
A,step-4800,4,2.0749,1.1315,0.3266,1.3,True,0.5867,3.1327,0.2019,1.5664
A,step-4800,4,2.0749,1.1315,0.3266,1.5,True,0.7208,3.6147,0.3744,1.8073
