arm,checkpoint,step,block_size,offset,n,mean_gap,mean_entropy,agreement,pearson_gap,pearson_entropy
A,step-3200,3200,8,2,256,1.79904,2.39716,0.44141,-0.11053,-0.13369
A,step-3200,3200,8,3,256,1.87944,2.36811,0.24609,-0.1127,-0.1394
A,step-3200,3200,8,4,256,1.90652,2.28323,0.13281,-0.05712,-0.07616
A,step-3200,3200,8,5,256,1.91461,2.27572,0.11719,-0.17204,-0.08917
A,step-3200,3200,8,6,256,1.91964,2.23818,0.11328,-0.0025,-0.07092
A,step-3200,3200,8,7,256,1.92353,2.2284,0.09766,0.04626,-0.10745
A,step-3200,3200,8,8,256,1.9235,2.3586,0.03906,0.01644,-0.02207
A,step-4800,4800,8,2,256,1.79904,2.39716,0.46875,-0.10437,-0.16527
A,step-4800,4800,8,3,256,1.87944,2.36811,0.24609,-0.08524,-0.14379
A,step-4800,4800,8,4,256,1.90652,2.28323,0.16797,-0.08964,-0.04119
A,step-4800,4800,8,5,256,1.91461,2.27572,0.125,-0.02615,-0.08682
A,step-4800,4800,8,6,256,1.91964,2.23818,0.10547,-0.03949,-0.0272
A,step-4800,4800,8,7,256,1.92353,2.2284,0.09375,0.02838,-0.06781
A,step-4800,4800,8,8,256,1.9235,2.3586,0.0625,0.01164,-0.03403
A,step-6400,6400,8,2,256,1.79904,2.39716,0.45703,-0.13563,-0.14056
A,step-6400,6400,8,3,256,1.87944,2.36811,0.26562,-0.13836,-0.17873
A,step-6400,6400,8,4,256,1.90652,2.28323,0.16797,-0.06801,-0.05103
A,step-6400,6400,8,5,256,1.91461,2.27572,0.14062,-0.11775,-0.10251
A,step-6400,6400,8,6,256,1.91964,2.23818,0.08984,0.02558,-0.05284
A,step-6400,6400,8,7,256,1.92353,2.2284,0.09375,0.06459,-0.1004
A,step-6400,6400,8,8,256,1.9235,2.3586,0.04297,-0.05951,0.00821
A,step-8000,8000,8,2,256,1.79904,2.39716,0.47266,-0.13348,-0.17289
A,step-8000,8000,8,3,256,1.87944,2.36811,0.27344,-0.08428,-0.22457
A,step-8000,8000,8,4,256,1.90652,2.28323,0.19141,-0.08324,-0.07161
A,step-8000,8000,8,5,256,1.91461,2.27572,0.125,-0.13225,-0.12467
A,step-8000,8000,8,6,256,1.91964,2.23818,0.10938,-0.00914,-0.07914
A,step-8000,8000,8,7,256,1.92353,2.2284,0.08594,0.0445,-0.11765
A,step-8000,8000,8,8,256,1.9235,2.3586,0.05469,0.00622,-0.11562
A,step-9600,9600,8,2,256,1.79904,2.39716,0.46875,-0.13918,-0.13016
A,step-9600,9600,8,3,256,1.87944,2.36811,0.28516,-0.20676,-0.14361
A,step-9600,9600,8,4,256,1.90652,2.28323,0.14844,-0.12791,-0.03406
A,step-9600,9600,8,5,256,1.91461,2.27572,0.14062,-0.07596,-0.10771
A,step-9600,9600,8,6,256,1.91964,2.23818,0.11328,-0.02963,-0.03834
A,step-9600,9600,8,7,256,1.92353,2.2284,0.125,0.05035,-0.13489
A,step-9600,9600,8,8,256,1.9235,2.3586,0.05859,0.00977,-0.01783
A,step-11200,11200,8,2,256,1.79904,2.39716,0.46875,-0.11576,-0.14655
A,step-11200,11200,8,3,256,1.87944,2.36811,0.27734,-0.12155,-0.17175
A,step-11200,11200,8,4,256,1.90652,2.28323,0.14844,0.00057,-0.09623
A,step-11200,11200,8,5,256,1.91461,2.27572,0.125,-0.05372,-0.14628
A,step-11200,11200,8,6,256,1.91964,2.23818,0.08984,0.03462,-0.09366
A,step-11200,11200,8,7,256,1.92353,2.2284,0.10938,0.07943,-0.13601
A,step-11200,11200,8,8,256,1.9235,2.3586,0.05078,0.04208,-0.00622
A,step-12800,12800,8,2,256,1.79904,2.39716,0.46875,-0.13189,-0.17541
A,step-12800,12800,8,3,256,1.87944,2.36811,0.27344,-0.19187,-0.1442
A,step-12800,12800,8,4,256,1.90652,2.28323,0.16797,-0.09555,-0.08449
A,step-12800,12800,8,5,256,1.91461,2.27572,0.12891,-0.06999,-0.12606
A,step-12800,12800,8,6,256,1.91964,2.23818,0.09375,-0.08663,-0.04017
A,step-12800,12800,8,7,256,1.92353,2.2284,0.09375,0.05956,-0.0523
A,step-12800,12800,8,8,256,1.9235,2.3586,0.04688,-0.01624,-0.03721
control,untrained,0,8,2,256,1.79904,2.39716,0.08594,-0.56653,-0.15388
control,untrained,0,8,3,256,1.87944,2.36811,0.05078,-0.39512,-0.09845
control,untrained,0,8,4,256,1.90652,2.28323,0.01953,-0.22033,-0.02492
control,untrained,0,8,5,256,1.91461,2.27572,0.02344,-0.29065,-0.10912
control,untrained,0,8,6,256,1.91964,2.23818,0.02344,-0.13961,-0.14494
control,untrained,0,8,7,256,1.92353,2.2284,0.01562,-0.36624,-0.0222
control,untrained,0,8,8,256,1.9235,2.3586,0.01953,-0.0327,-0.11194
B,step-12800,12800,8,2,256,1.79904,2.39716,0.46875,-0.13189,-0.17541
B,step-12800,12800,8,3,256,1.87944,2.36811,0.27344,-0.19187,-0.1442
B,step-12800,12800,8,4,256,1.90652,2.28323,0.16797,-0.09555,-0.08449
B,step-12800,12800,8,5,256,1.91461,2.27572,0.12891,-0.06999,-0.12606
B,step-12800,12800,8,6,256,1.91964,2.23818,0.09375,-0.08663,-0.04017
B,step-12800,12800,8,7,256,1.92353,2.2284,0.09375,0.05956,-0.0523
B,step-12800,12800,8,8,256,1.9235,2.3586,0.04688,-0.01624,-0.03721
B1,B1-13200,13200,8,2,256,1.79904,2.39716,0.47656,-0.14374,-0.12684
B1,B1-13200,13200,8,3,256,1.87944,2.36811,0.26172,-0.22597,-0.13994
B1,B1-13200,13200,8,4,256,1.90652,2.28323,0.17188,-0.0077,-0.12072
B1,B1-13200,13200,8,5,256,1.91461,2.27572,0.14453,-0.09741,-0.19117
B1,B1-13200,13200,8,6,256,1.91964,2.23818,0.10938,-0.06142,-0.0643
B1,B1-13200,13200,8,7,256,1.92353,2.2284,0.11719,0.01405,-0.10582
B1,B1-13200,13200,8,8,256,1.9235,2.3586,0.05078,-0.01633,-0.01664
B1,B1-13600,13600,8,2,256,1.79904,2.39716,0.45312,-0.18144,-0.14448
B1,B1-13600,13600,8,3,256,1.87944,2.36811,0.27734,-0.24707,-0.12377
B1,B1-13600,13600,8,4,256,1.90652,2.28323,0.17969,-0.0379,-0.13791
B1,B1-13600,13600,8,5,256,1.91461,2.27572,0.11719,-0.13967,-0.2167
B1,B1-13600,13600,8,6,256,1.91964,2.23818,0.12109,-0.04927,-0.07904
B1,B1-13600,13600,8,7,256,1.92353,2.2284,0.10156,0.03231,-0.08871
B1,B1-13600,13600,8,8,256,1.9235,2.3586,0.05469,0.0188,0.0258
B1,B1-14400,14400,8,2,256,1.79904,2.39716,0.45703,-0.12777,-0.17086
B1,B1-14400,14400,8,3,256,1.87944,2.36811,0.28516,-0.17949,-0.16537
B1,B1-14400,14400,8,4,256,1.90652,2.28323,0.17188,0.00629,-0.12269
B1,B1-14400,14400,8,5,256,1.91461,2.27572,0.11719,-0.09166,-0.18012
B1,B1-14400,14400,8,6,256,1.91964,2.23818,0.11719,-0.10456,-0.03306
B1,B1-14400,14400,8,7,256,1.92353,2.2284,0.10938,0.07138,-0.15962
B1,B1-14400,14400,8,8,256,1.9235,2.3586,0.07031,0.04951,-0.04849
B1,B1-16000,16000,8,2,256,1.79904,2.39716,0.48438,-0.13904,-0.10976
B1,B1-16000,16000,8,3,256,1.87944,2.36811,0.28516,-0.1297,-0.19575
B1,B1-16000,16000,8,4,256,1.90652,2.28323,0.17578,0.04338,-0.16688
B1,B1-16000,16000,8,5,256,1.91461,2.27572,0.11328,-0.01579,-0.06839
B1,B1-16000,16000,8,6,256,1.91964,2.23818,0.10938,-0.12691,-0.01719
B1,B1-16000,16000,8,7,256,1.92353,2.2284,0.07812,-0.0435,-0.04347
B1,B1-16000,16000,8,8,256,1.9235,2.3586,0.0625,-0.02347,0.06327
B2,B2k6-14400,14400,8,2,256,1.79904,2.39716,0.46484,-0.08011,-0.09997
B2,B2k6-14400,14400,8,3,256,1.87944,2.36811,0.26562,-0.11856,-0.10852
B2,B2k6-14400,14400,8,4,256,1.90652,2.28323,0.20312,-0.05428,-0.14849
B2,B2k6-14400,14400,8,5,256,1.91461,2.27572,0.10938,-0.05641,-0.13978
B2,B2k6-14400,14400,8,6,256,1.91964,2.23818,0.10547,-0.02476,-0.07763
B2,B2k6-14400,14400,8,7,256,1.92353,2.2284,0.10156,-0.03627,-0.08313
B2,B2k6-14400,14400,8,8,256,1.9235,2.3586,0.06641,-0.06933,0.07306
B2,B2k8-14800,14800,8,2,256,1.79904,2.39716,0.44141,-0.15387,-0.1464
B2,B2k8-14800,14800,8,3,256,1.87944,2.36811,0.28906,-0.15342,-0.17012
B2,B2k8-14800,14800,8,4,256,1.90652,2.28323,0.17578,-0.03561,-0.11963
B2,B2k8-14800,14800,8,5,256,1.91461,2.27572,0.13281,-0.19796,-0.16058
B2,B2k8-14800,14800,8,6,256,1.91964,2.23818,0.12109,-0.06902,-0.0291
B2,B2k8-14800,14800,8,7,256,1.92353,2.2284,0.10547,0.03382,-0.05195
B2,B2k8-14800,14800,8,8,256,1.9235,2.3586,0.06641,0.02087,-0.07918
B2,B2k8-16000,16000,8,2,256,1.79904,2.39716,0.47656,-0.10249,-0.08605
B2,B2k8-16000,16000,8,3,256,1.87944,2.36811,0.25781,-0.15345,-0.13183
B2,B2k8-16000,16000,8,4,256,1.90652,2.28323,0.21484,-0.01137,-0.12332
B2,B2k8-16000,16000,8,5,256,1.91461,2.27572,0.14453,-0.04718,-0.11952
B2,B2k8-16000,16000,8,6,256,1.91964,2.23818,0.13672,-0.13361,-0.04579
B2,B2k8-16000,16000,8,7,256,1.92353,2.2284,0.09766,-0.01802,-0.02788
B2,B2k8-16000,16000,8,8,256,1.9235,2.3586,0.06641,-0.05143,-0.03086
