arm,checkpoint,step,K,ms_per_slot,slot_fit_r2,slot,marginal_tokens,break_even_tokens,pays_for_itself,cycle_ms_at_this_block
A,step-3200,3200,2,1.4908,1.0,1,0.58304,0.06648,True,44.8485
A,step-3200,3200,4,1.4908,1.0,1,0.61111,0.0665,True,44.8373
A,step-3200,3200,4,1.4908,1.0,2,0.25,0.08402,True,46.3281
A,step-3200,3200,4,1.4908,1.0,3,0.0754,0.0892,False,47.8189
A,step-3200,3200,8,1.4908,1.0,1,0.62195,0.06649,True,44.8462
A,step-3200,3200,8,1.4908,1.0,2,0.2561,0.08436,True,46.337
A,step-3200,3200,8,1.4908,1.0,3,0.08537,0.08971,False,47.8278
A,step-3200,3200,8,1.4908,1.0,4,0.02846,0.08958,False,49.3186
A,step-3200,3200,8,1.4908,1.0,5,0.00813,0.08778,False,50.8094
A,step-3200,3200,8,1.4908,1.0,6,0.0,0.08551,False,52.3002
A,step-3200,3200,8,1.4908,1.0,7,0.0,0.08314,False,53.791
A,step-4800,4800,2,1.3743,0.99848,1,0.61786,0.06134,True,44.8127
A,step-4800,4800,4,1.3743,0.99848,1,0.62903,0.06091,True,45.1222
A,step-4800,4800,4,1.3743,0.99848,2,0.2621,0.07771,True,46.4965
A,step-4800,4800,4,1.3743,0.99848,3,0.08871,0.083,True,47.8708
A,step-4800,4800,8,1.3743,0.99848,1,0.625,0.06125,True,44.8747
A,step-4800,4800,8,1.3743,0.99848,2,0.32917,0.078,True,46.249
A,step-4800,4800,8,1.3743,0.99848,3,0.08333,0.08525,False,47.6233
A,step-4800,4800,8,1.3743,0.99848,4,0.04167,0.0852,False,48.9976
A,step-4800,4800,8,1.3743,0.99848,5,0.00833,0.08401,False,50.3719
A,step-4800,4800,8,1.3743,0.99848,6,0.0,0.082,False,51.7462
A,step-4800,4800,8,1.3743,0.99848,7,0.0,0.07988,False,53.1205
A,step-6400,6400,2,1.4073,0.99545,1,0.61071,0.06349,True,44.3295
A,step-6400,6400,4,1.4073,0.99545,1,0.61265,0.06272,True,44.8791
A,step-6400,6400,4,1.4073,0.99545,2,0.25296,0.07944,True,46.2864
A,step-6400,6400,4,1.4073,0.99545,3,0.05929,0.08456,False,47.6937
A,step-6400,6400,8,1.4073,0.99545,1,0.59839,0.06334,True,44.4396
A,step-6400,6400,8,1.4073,0.99545,2,0.27711,0.07976,True,45.8469
A,step-6400,6400,8,1.4073,0.99545,3,0.06024,0.08564,False,47.2542
A,step-6400,6400,8,1.4073,0.99545,4,0.02811,0.0849,False,48.6615
A,step-6400,6400,8,1.4073,0.99545,5,0.00803,0.08331,False,50.0688
A,step-6400,6400,8,1.4073,0.99545,6,0.0,0.08125,False,51.4761
A,step-6400,6400,8,1.4073,0.99545,7,0.0,0.07909,False,52.8834
A,step-8000,8000,2,1.425,0.9971,1,0.58657,0.06429,True,44.333
A,step-8000,8000,4,1.425,0.9971,1,0.6166,0.06365,True,44.7767
A,step-8000,8000,4,1.425,0.9971,2,0.23715,0.0807,True,46.2017
A,step-8000,8000,4,1.425,0.9971,3,0.07115,0.08538,False,47.6267
A,step-8000,8000,8,1.425,0.9971,1,0.60887,0.06416,True,44.4218
A,step-8000,8000,8,1.425,0.9971,2,0.27823,0.08109,True,45.8468
A,step-8000,8000,8,1.425,0.9971,3,0.06855,0.08703,False,47.2718
A,step-8000,8000,8,1.425,0.9971,4,0.02419,0.08649,False,48.6968
A,step-8000,8000,8,1.425,0.9971,5,0.00806,0.08472,False,50.1218
A,step-8000,8000,8,1.425,0.9971,6,0.0,0.0826,False,51.5468
A,step-8000,8000,8,1.425,0.9971,7,0.0,0.08038,False,52.9718
A,step-9600,9600,2,1.4366,0.99652,1,0.62366,0.06482,True,44.3288
A,step-9600,9600,4,1.4366,0.99652,1,0.6371,0.06411,True,44.8186
A,step-9600,9600,4,1.4366,0.99652,2,0.26613,0.0819,True,46.2552
A,step-9600,9600,4,1.4366,0.99652,3,0.08468,0.08745,False,47.6918
A,step-9600,9600,8,1.4366,0.99652,1,0.62857,0.06467,True,44.4271
A,step-9600,9600,8,1.4366,0.99652,2,0.30612,0.08234,True,45.8637
A,step-9600,9600,8,1.4366,0.99652,3,0.07347,0.08913,False,47.3003
A,step-9600,9600,8,1.4366,0.99652,4,0.04082,0.08867,False,48.7369
A,step-9600,9600,8,1.4366,0.99652,5,0.00816,0.0873,False,50.1735
A,step-9600,9600,8,1.4366,0.99652,6,0.00816,0.0851,False,51.6101
A,step-9600,9600,8,1.4366,0.99652,7,0.00408,0.08301,False,53.0467
A,step-11200,11200,2,1.4504,0.99619,1,0.59574,0.06551,True,44.2803
A,step-11200,11200,4,1.4504,0.99619,1,0.64659,0.06475,True,44.798
