arm,K,from_step,to_step,span,d_mean_accepted_specs,d_tpf,d_val_tv,threshold_accept,threshold_tpf,threshold_tv,interval_flat,saturated
A,2,3200,4800,1600,0.0349,0.01293,-0.00235,0.06,0.03,0.015,True,False
A,2,4800,6400,1600,-0.0072,0.0,-0.00461,0.06,0.03,0.015,True,True
A,2,6400,8000,1600,-0.0241,-0.01293,-0.01055,0.06,0.03,0.015,True,True
A,2,8000,9600,1600,0.0371,0.0173,-0.0058,0.06,0.03,0.015,True,True
A,2,9600,11200,1600,-0.028,-0.01302,0.00882,0.06,0.03,0.015,True,True
A,2,11200,12800,1600,0.0244,0.01302,-0.01365,0.06,0.03,0.015,True,True
A,4,3200,4800,1600,0.0433,0.02172,0.00299,0.06,0.03,0.015,True,False
A,4,4800,6400,1600,-0.0549,-0.02704,-0.0041,0.06,0.03,0.015,True,True
A,4,6400,8000,1600,0.0,0.0,-0.01378,0.06,0.03,0.015,True,True
A,4,8000,9600,1600,0.063,0.02704,0.00551,0.06,0.03,0.015,False,False
A,4,9600,11200,1600,0.0201,-0.00549,-0.00012,0.06,0.03,0.015,True,False
A,4,11200,12800,1600,-0.0401,0.0,0.00238,0.06,0.03,0.015,True,True
A,8,3200,4800,1600,0.0875,0.03443,-0.0074,0.06,0.03,0.015,False,False
A,8,4800,6400,1600,-0.1156,-0.05104,-0.00392,0.06,0.03,0.015,True,False
A,8,6400,8000,1600,0.016,0.00549,-0.00249,0.06,0.03,0.015,True,True
A,8,8000,9600,1600,0.0815,0.01674,0.0028,0.06,0.03,0.015,False,False
A,8,9600,11200,1600,0.0044,0.00567,0.01394,0.06,0.03,0.015,True,False
A,8,11200,12800,1600,0.0133,0.01728,-0.00993,0.06,0.03,0.015,True,True
B1,2,12800,13200,400,-0.0208,-0.01302,-0.00459,0.015,0.0075,0.00375,False,False
B1,2,13200,13600,400,-0.0148,-0.00853,0.00367,0.015,0.0075,0.00375,True,False
B1,2,13600,14400,800,0.0091,0.00425,-0.00068,0.03,0.015,0.0075,True,True
B1,2,14400,16000,1600,0.0243,0.01293,-0.00166,0.06,0.03,0.015,True,True
B1,4,12800,13200,400,0.0082,-0.01086,-0.00451,0.015,0.0075,0.00375,False,False
B1,4,13200,13600,400,-0.0436,-0.00537,-0.00297,0.015,0.0075,0.00375,True,False
B1,4,13600,14400,800,0.0354,0.01623,0.00418,0.03,0.015,0.0075,False,False
B1,4,14400,16000,1600,0.0895,0.0279,-0.01352,0.06,0.03,0.015,False,False
B1,8,12800,13200,400,0.0087,0.00586,-0.01427,0.015,0.0075,0.00375,False,False
B1,8,13200,13600,400,-0.0094,-0.01742,0.00412,0.015,0.0075,0.00375,True,False
B1,8,13600,14400,800,-0.037,0.0,-0.00459,0.03,0.015,0.0075,True,True
B1,8,14400,16000,1600,0.0498,0.00576,-0.0001,0.06,0.03,0.015,True,True
B2,2,12800,14400,1600,-0.0371,-0.0173,0.00333,0.06,0.03,0.015,True,False
B2,2,14400,14800,400,0.0036,0.0,-0.00698,0.015,0.0075,0.00375,False,False
B2,2,14800,16000,1200,0.0371,0.0173,-0.00328,0.045,0.0225,0.01125,True,False
B2,4,12800,14400,1600,0.02,0.00549,0.00013,0.06,0.03,0.015,True,False
B2,4,14400,14800,400,-0.0277,-0.01635,-0.01571,0.015,0.0075,0.00375,False,False
B2,4,14800,16000,1200,0.0849,0.03876,0.00476,0.045,0.0225,0.01125,False,False
B2,8,12800,14400,1600,0.0087,0.00586,-0.0054,0.06,0.03,0.015,True,False
B2,8,14400,14800,400,-0.0592,-0.03443,-0.00787,0.015,0.0075,0.00375,False,False
B2,8,14800,16000,1200,0.1063,0.04628,-0.01612,0.045,0.0225,0.01125,False,False
