arm,checkpoint,step,K,j,p_accepted_ge_j,mean_accepted_specs,mean_committed_tokens
A,step-3200,3200,2,1,0.58304,0.58304,2.58304
A,step-3200,3200,4,1,0.61111,0.93651,2.93651
A,step-3200,3200,4,2,0.25,0.93651,2.93651
A,step-3200,3200,4,3,0.0754,0.93651,2.93651
A,step-3200,3200,8,1,0.62195,1.0,3.0
A,step-3200,3200,8,2,0.2561,1.0,3.0
A,step-3200,3200,8,3,0.08537,1.0,3.0
A,step-3200,3200,8,4,0.02846,1.0,3.0
A,step-3200,3200,8,5,0.00813,1.0,3.0
A,step-3200,3200,8,6,0.0,1.0,3.0
A,step-3200,3200,8,7,0.0,1.0,3.0
A,step-4800,4800,2,1,0.61786,0.61786,2.61786
A,step-4800,4800,4,1,0.62903,0.97984,2.97984
A,step-4800,4800,4,2,0.2621,0.97984,2.97984
A,step-4800,4800,4,3,0.08871,0.97984,2.97984
A,step-4800,4800,8,1,0.625,1.0875,3.0875
A,step-4800,4800,8,2,0.32917,1.0875,3.0875
A,step-4800,4800,8,3,0.08333,1.0875,3.0875
A,step-4800,4800,8,4,0.04167,1.0875,3.0875
A,step-4800,4800,8,5,0.00833,1.0875,3.0875
A,step-4800,4800,8,6,0.0,1.0875,3.0875
A,step-4800,4800,8,7,0.0,1.0875,3.0875
A,step-6400,6400,2,1,0.61071,0.61071,2.61071
A,step-6400,6400,4,1,0.61265,0.9249,2.9249
A,step-6400,6400,4,2,0.25296,0.9249,2.9249
A,step-6400,6400,4,3,0.05929,0.9249,2.9249
A,step-6400,6400,8,1,0.59839,0.97189,2.97189
A,step-6400,6400,8,2,0.27711,0.97189,2.97189
A,step-6400,6400,8,3,0.06024,0.97189,2.97189
A,step-6400,6400,8,4,0.02811,0.97189,2.97189
A,step-6400,6400,8,5,0.00803,0.97189,2.97189
A,step-6400,6400,8,6,0.0,0.97189,2.97189
A,step-6400,6400,8,7,0.0,0.97189,2.97189
A,step-8000,8000,2,1,0.58657,0.58657,2.58657
A,step-8000,8000,4,1,0.6166,0.9249,2.9249
A,step-8000,8000,4,2,0.23715,0.9249,2.9249
A,step-8000,8000,4,3,0.07115,0.9249,2.9249
A,step-8000,8000,8,1,0.60887,0.9879,2.9879
A,step-8000,8000,8,2,0.27823,0.9879,2.9879
A,step-8000,8000,8,3,0.06855,0.9879,2.9879
A,step-8000,8000,8,4,0.02419,0.9879,2.9879
A,step-8000,8000,8,5,0.00806,0.9879,2.9879
A,step-8000,8000,8,6,0.0,0.9879,2.9879
A,step-8000,8000,8,7,0.0,0.9879,2.9879
A,step-9600,9600,2,1,0.62366,0.62366,2.62366
A,step-9600,9600,4,1,0.6371,0.9879,2.9879
A,step-9600,9600,4,2,0.26613,0.9879,2.9879
A,step-9600,9600,4,3,0.08468,0.9879,2.9879
A,step-9600,9600,8,1,0.62857,1.06939,3.06939
A,step-9600,9600,8,2,0.30612,1.06939,3.06939
A,step-9600,9600,8,3,0.07347,1.06939,3.06939
