session,checkpoint,arm,step,K_train,curriculum,training_steps,training_tokens,supervised_positions,training_seconds,seconds_per_step,K_decode,is_primary,val_tv,tf_agree_specs,tf_mean_accepted_prefix,tf_full_block_rate,seed_row_agreement,free_acceptance_rate,free_mean_accepted_specs,free_full_block_rate,tpf,forwards_per_token,proposal_ms,verify_ms,commit_ms,overhead_ms,cycle_ms,tok_s_median,tok_s_mean,speedup_vs_ar,predicted_tok_s,cost_model_error_pct,ar_agreement,ar_baseline_tok_s,peak_memory_gb,backbone_unchanged,agree_plus_1,agree_plus_2,agree_plus_3,agree_plus_4,agree_plus_5,agree_plus_6,agree_plus_7,agree_plus_8,p_accept_0,p_accept_1,p_accept_2,p_accept_3,p_accept_4,p_accept_5,p_accept_6,p_accept_7,p_accept_8,survive_ge_1,survive_ge_2,survive_ge_3,draft_q1_accept,draft_q2_accept,draft_q3_accept,draft_q4_accept,draft_q5_accept,draft_pearson_gap,draft_pearson_entropy,delta_tok_s_vs_control,delta_tok_s_pct_vs_control,delta_tpf_vs_control,delta_prefix_vs_control,prefix_gain_per_training_hour,tok_s_gain_per_training_hour,survive_ge_4,survive_ge_5,survive_ge_6,survive_ge_7
2026-09-13T16:43:32,A_k4@12800,A_k4,12800,4,,3200,3251200,38400,4551.01,1.4222,4,True,0.96724,0.31771,0.75781,0.07031,1.0,0.32262,0.96787,0.07229,1.40351,0.7125,24.0833,23.6179,0.2668,0.7561,48.7241,57.385,57.385,1.1506,58.332,1.651,0.8528,49.872,11.629,True,1.0,0.48438,0.28906,0.17969,,,,,0.37349,0.35743,0.19679,0.07229,,,,,,0.62651,0.26908,0.07229,0.37908,0.30065,0.32026,0.3268,0.23718,-0.09954,-0.14992,,,,,,,,,,
2026-09-13T16:43:32,A_k4@13200,A_k4,13200,4,,3200,3251200,38400,4551.01,1.4222,4,True,0.96661,0.3099,0.74219,0.0625,1.0,0.31614,0.94841,0.07937,1.38728,0.72083,23.8579,23.4386,0.2556,0.7486,48.3007,59.923,57.414,1.2015,58.47,-2.424,0.8528,49.872,11.039,True,1.0,0.49609,0.24609,0.1875,,,,,0.39683,0.3373,0.18651,0.07937,,,,,,0.60317,0.26587,0.07937,0.38562,0.28758,0.32026,0.3268,0.24359,-0.08587,-0.16694,,,,,,,,,,
2026-09-13T16:43:32,A_k4@13600,A_k4,13600,4,,3200,3251200,38400,4551.01,1.4222,4,True,0.9689,0.31771,0.79297,0.0625,1.0,0.31752,0.95257,0.08696,1.38196,0.72361,23.8585,23.4432,0.2543,0.7412,48.2971,58.124,57.114,1.1655,58.537,0.711,0.8528,49.872,11.629,True,1.0,0.51172,0.27734,0.16406,,,,,0.40316,0.32806,0.18182,0.08696,,,,,,0.59684,0.26877,0.08696,0.38562,0.30065,0.29412,0.30719,0.26923,-0.11039,-0.19179,,,,,,,,,,
2026-09-13T16:43:32,A_k4@14400,A_k4,14400,4,,3200,3251200,38400,4551.01,1.4222,4,True,0.96451,0.31641,0.76562,0.07422,1.0,0.33067,0.992,0.112,1.39806,0.71528,23.8744,23.4298,0.2563,0.7469,48.3075,57.965,57.618,1.1623,59.271,2.254,0.8528,49.872,11.629,True,1.0,0.49609,0.26562,0.1875,,,,,0.404,0.312,0.172,0.112,,,,,,0.596,0.284,0.112,0.39216,0.28758,0.32026,0.28758,0.30128,-0.09793,-0.19154,,,,,,,,,,
2026-09-13T16:43:32,A_k4@15200,A_k4,15200,4,,3200,3251200,38400,4551.01,1.4222,4,True,0.97193,0.3112,0.73438,0.05859,1.0,0.30962,0.92885,0.07905,1.38196,0.72361,23.8847,23.437,0.2553,0.7517,48.3288,56.885,56.94,1.1406,58.047,2.043,0.8528,49.872,11.629,True,1.0,0.48047,0.28906,0.16406,,,,,0.41107,0.32806,0.18182,0.07905,,,,,,0.58893,0.26087,0.07905,0.39216,0.28105,0.28105,0.29412,0.26282,-0.09,-0.16005,,,,,,,,,,
2026-09-13T16:43:32,A_k4@16000,A_k4,16000,4,,3200,3251200,38400,4551.01,1.4222,4,True,0.96678,0.3112,0.76172,0.07422,1.0,0.34278,1.02834,0.11741,1.41454,0.70694,23.896,23.4497,0.255,0.7493,48.35,59.935,58.386,1.2018,59.913,-0.037,0.8528,49.872,11.629,True,1.0,0.49219,0.27734,0.16406,,,,,0.37652,0.33603,0.17004,0.11741,,,,,,0.62348,0.28745,0.11741,0.36601,0.30065,0.26797,0.28758,0.30769,-0.07107,-0.17019,,,,,,,,,,
2026-09-13T17:19:09,A_k4@16000,A_k4,16000,4,,3200,3251200,38400,4551.01,1.4222,4,True,0.96678,0.3112,0.76172,0.07422,1.0,0.34278,1.02834,0.11741,1.41454,0.70694,24.2272,23.6899,0.2733,0.7813,48.9717,59.096,57.673,1.1934,59.182,0.146,0.8528,49.518,11.629,True,1.0,0.49219,0.27734,0.16406,,,,,0.37652,0.33603,0.17004,0.11741,,,,,,0.62348,0.28745,0.11741,0.36601,0.30065,0.26797,0.28758,0.30769,-0.07107,-0.17019,,,,,,,,,,
2026-09-13T16:43:32,B_k6@13200,B_k6,13200,6,,3200,3251200,64000,4562.41,1.4258,4,True,0.96246,0.31771,0.75391,0.06641,1.0,0.31225,0.93676,0.07115,1.38196,0.72361,23.8859,23.4527,0.2546,0.7443,48.3375,56.85,56.867,1.1399,58.19,2.357,0.8528,49.872,11.629,True,1.0,0.49219,0.30078,0.16016,,,,,0.38735,0.35968,0.18182,0.07115,,,,,,0.61265,0.25296,0.07115,0.38562,0.30719,0.27451,0.32026,0.25,-0.10472,-0.15497,,,,,,,,,,
2026-09-13T16:43:32,B_k6@13600,B_k6,13600,6,,3200,3251200,64000,4562.41,1.4258,4,True,0.96203,0.3112,0.73438,0.05078,1.0,0.32143,0.96429,0.07937,1.38728,0.72083,24.0067,23.5142,0.2577,0.7543,48.5329,56.8,56.812,1.1389,58.48,2.957,0.8528,49.872,11.629,True,1.0,0.49609,0.28516,0.15234,,,,,0.38095,0.35317,0.18651,0.07937,,,,,,0.61905,0.26587,0.07937,0.40523,0.28105,0.30719,0.32026,0.25,-0.11847,-0.16459,,,,,,,,,,
2026-09-13T16:43:32,B_k6@14400,B_k6,14400,6,,3200,3251200,64000,4562.41,1.4258,4,True,0.94423,0.33464,0.80469,0.07812,1.0,0.33063,0.9919,0.09717,1.41454,0.70694,23.9123,23.4634,0.2548,0.7472,48.3776,56.792,58.355,1.1388,59.196,4.233,0.8528,49.872,11.629,True,1.0,0.51562,0.29688,0.19141,,,,,0.39676,0.31174,0.19433,0.09717,,,,,,0.60324,0.2915,0.09717,0.41176,0.33333,0.27451,0.3268,0.28205,-0.10466,-0.1875,,,,,,,,,,
