session,arm,control,K_decode,delta_acceptance,delta_tpf,delta_tok_s_pct,tok_s_mean_diff,tok_s_ci_low,tok_s_ci_high,tok_s_significant,tok_s_wins,tok_s_n,tpf_mean_diff,tpf_ci_low,tpf_ci_high,tpf_significant,tpf_wins,tpf_n,accepted_specs_mean_diff,accepted_specs_ci_low,accepted_specs_ci_high,accepted_specs_significant,accepted_specs_wins,accepted_specs_n,tf_accepted_prefix_mean_diff,tf_accepted_prefix_ci_low,tf_accepted_prefix_ci_high,tf_accepted_prefix_significant,tf_accepted_prefix_wins,tf_accepted_prefix_n,tf_agreement_mean_diff,tf_agreement_ci_low,tf_agreement_ci_high,tf_agreement_significant,tf_agreement_wins,tf_agreement_n,delta_agree_+1,delta_agree_+2,delta_agree_+3,delta_agree_+4
2026-09-13T16:43:32,A_k4@13200,A_k4@12800,4,-0.01946,-0.01623,4.423,0.02874,-1.521953,1.409707,False,11,15,-0.011261,-0.048925,0.022373,False,3,15,-0.009293,-0.078384,0.055097,False,4,15,-0.015625,-0.074219,0.039062,False,15,256,-0.007812,-0.027344,0.01042,False,22,256,0.0,0.01171,-0.04297,0.00781
2026-09-13T16:43:32,A_k4@13600,A_k4@12800,4,-0.0153,-0.02155,1.288,-0.27066,-1.834867,1.291953,False,10,15,-0.019867,-0.059471,0.018755,False,3,15,-0.012036,-0.099879,0.073121,False,3,15,0.035156,-0.027344,0.101562,False,25,256,2e-06,-0.022133,0.022136,False,31,256,0.0,0.02734,-0.01172,-0.01563
2026-09-13T16:43:32,A_k4@14400,A_k4@12800,4,0.02413,-0.00545,1.011,0.23314,-1.39916,1.71196,False,11,15,-0.006411,-0.049506,0.031276,False,4,15,0.021239,-0.058316,0.092926,False,7,15,0.007812,-0.0625,0.078125,False,23,256,-0.001302,-0.026041,0.02214,False,33,256,0.0,0.01171,-0.02344,0.00781
2026-09-13T16:43:32,A_k4@15200,A_k4@12800,4,-0.03902,-0.02155,-0.871,-0.445047,-1.475067,0.60326,False,10,15,-0.022887,-0.049114,0.003341,False,1,15,-0.042254,-0.109474,0.02354,False,3,15,-0.023438,-0.097656,0.050781,False,22,256,-0.00651,-0.032552,0.019534,False,31,256,0.0,-0.00391,0.0,-0.01563
2026-09-13T16:43:32,A_k4@16000,A_k4@12800,4,0.06047,0.01103,4.444,1.00136,-0.421453,2.626993,False,12,15,0.013368,-0.021697,0.052636,False,4,15,0.063878,-0.014417,0.147043,False,6,15,0.003906,-0.074219,0.078125,False,20,256,-0.006511,-0.031251,0.01693,False,30,256,0.0,0.00781,-0.01172,-0.01563
2026-09-13T16:43:32,B_k6@13200,A_k4@12800,4,-0.03111,-0.02155,-0.932,-0.518047,-2.356807,1.203393,False,10,15,-0.025776,-0.073233,0.018053,False,3,15,-0.039075,-0.133405,0.048914,False,4,15,-0.003906,-0.066406,0.058594,False,19,256,-2e-06,-0.023439,0.023436,False,32,256,0.0,0.00781,0.01172,-0.01953
2026-09-13T16:43:32,B_k6@13600,A_k4@12800,4,-0.00358,-0.01623,-1.019,-0.57324,-2.682213,1.151907,False,10,15,-0.020834,-0.075729,0.023111,False,3,15,-0.010935,-0.125662,0.090541,False,6,15,-0.023438,-0.089844,0.042969,False,19,256,-0.006511,-0.029949,0.016925,False,30,256,0.0,0.01171,-0.0039,-0.02735
2026-09-13T16:43:32,B_k6@14400,A_k4@12800,4,0.02403,0.01103,-1.033,0.970007,-1.33078,3.27834,False,11,15,0.012601,-0.044969,0.068924,False,6,15,0.029737,-0.089475,0.150181,False,6,15,0.046875,-0.023438,0.117188,False,26,256,0.016927,-0.00651,0.040365,False,39,256,0.0,0.03124,0.00782,0.01172
2026-09-13T16:43:32,B_k6@15200,A_k4@12800,4,-0.01987,-0.00545,0.986,0.038907,-1.962333,1.934007,False,9,15,-0.00686,-0.057527,0.040035,False,6,15,-0.020447,-0.121206,0.075593,False,6,15,0.027344,-0.046875,0.101562,False,24,256,-0.005209,-0.028646,0.019529,False,29,256,0.0,0.01171,-0.01562,-0.01172
2026-09-13T16:43:32,B_k6@16000,A_k4@12800,4,0.06902,0.0279,4.963,1.481713,-0.377773,3.09656,False,13,15,0.024365,-0.024498,0.066127,False,7,15,0.062909,-0.037273,0.152783,False,8,15,0.035156,-0.042969,0.109375,False,28,256,0.001303,-0.024737,0.026045,False,37,256,0.0,0.01562,-0.01172,0.0
2026-09-13T16:43:32,C_k8@13200,A_k4@12800,4,0.04428,0.01103,2.551,0.77082,-1.590707,3.221813,False,9,15,0.011906,-0.044583,0.071278,False,5,15,0.047075,-0.065139,0.168263,False,6,15,-0.011719,-0.070312,0.046875,False,18,256,-0.001303,-0.023438,0.020831,False,30,256,0.0,0.00781,-0.02344,0.01172
2026-09-13T16:43:32,C_k8@13600,A_k4@12800,4,0.00013,-0.00545,-2.062,-0.62184,-2.379487,1.097527,False,4,15,-0.011082,-0.056494,0.032747,False,4,15,-0.009798,-0.100119,0.080463,False,5,15,0.007812,-0.054688,0.070312,False,22,256,0.0,-0.022136,0.022139,False,35,256,0.0,-0.00782,0.01563,-0.00781
2026-09-13T16:43:32,C_k8@14400,A_k4@12800,4,0.05662,0.02223,2.975,0.594107,-1.289447,2.405593,False,7,15,0.019032,-0.029156,0.063647,False,6,15,0.051633,-0.041099,0.142429,False,7,15,0.0,-0.070312,0.070312,False,23,256,-0.005207,-0.029948,0.020833,False,31,256,0.0,0.0,0.0,-0.01563
2026-09-13T16:43:32,C_k8@15200,A_k4@12800,4,0.0,0.0,0.146,-0.06594,-1.495467,1.434533,False,5,15,0.001571,-0.034691,0.039069,False,5,15,0.004187,-0.070475,0.081758,False,5,15,0.019531,-0.058594,0.097656,False,30,256,0.0,-0.028644,0.027346,False,41,256,0.0,0.02734,-0.00781,-0.01953
2026-09-13T16:43:32,C_k8@16000,A_k4@12800,4,0.02013,-0.00545,-2.152,-0.563207,-2.835747,1.480527,False,5,15,-0.006654,-0.066161,0.045301,False,5,15,0.018167,-0.112023,0.128652,False,8,15,0.03125,-0.039062,0.101562,False,29,256,0.003906,-0.023437,0.02995,False,40,256,0.0,0.03515,-0.02344,0.0
2026-09-13T16:43:32,D_curr@13200,A_k4@12800,4,-0.02716,-0.02155,0.598,-1.23616,-2.93254,0.352753,False,3,15,-0.023865,-0.06759,0.01683,False,2,15,-0.031962,-0.109448,0.046343,False,2,15,-0.042969,-0.101562,0.011719,False,13,256,-0.019532,-0.037763,-0.001302,True,16,256,0.0,0.0,-0.04297,-0.01563
2026-09-13T16:43:32,D_curr@13600,A_k4@12800,4,-0.00755,-0.01623,0.064,-0.87982,-2.745147,0.890687,False,4,15,-0.018921,-0.067526,0.026209,False,4,15,-0.011083,-0.103953,0.072799,False,5,15,0.011719,-0.058594,0.082031,False,23,256,-0.001301,-0.023436,0.020834,False,31,256,0.0,0.0039,-0.00781,0.0
2026-09-13T16:43:32,D_curr@14400,A_k4@12800,4,-0.01946,-0.01623,3.044,-0.692187,-2.595387,1.178133,False,5,15,-0.014474,-0.063975,0.03287,False,5,15,-0.014146,-0.110363,0.075795,False,6,15,-0.023438,-0.097656,0.046875,False,22,256,-0.005209,-0.028649,0.018229,False,36,256,0.0,0.01171,-0.03125,0.0039
2026-09-13T16:43:32,D_curr@15200,A_k4@12800,4,0.00803,0.0,-1.859,-0.253987,-1.939507,1.24684,False,4,15,-0.002066,-0.045163,0.035755,False,4,15,0.005827,-0.072091,0.080239,False,5,15,-0.007812,-0.085938,0.070312,False,24,256,-0.01172,-0.036458,0.01302,False,30,256,0.0,0.0,-0.01172,-0.02344
