example_id,stratum,position,offset,timestep,corruption_level,n_corrupted_predecessors,clean_token,proposed_token,verifier_token,accepted,entropy,normalized_entropy,top1_probability,top1_top2_margin,effective_support,existing_draftability_score,teacher_entropy,corrupt_entropy
w0000r0,FULL,120,2,1.0,1,0,695,271,271,1,3.602617,0.290008,0.291101,0.114539,36.6941,1.881938,3.131398,6.576174
w0000r0,FULL,121,3,1.0,1,1,248044,310,760,0,3.451565,0.277848,0.347766,0.172898,31.5497,1.828804,5.065639,7.400552
w0000r0,FULL,122,4,1.0,1,2,70218,310,410,0,3.524156,0.283692,0.295768,0.034754,33.9251,1.795887,7.186396,7.635845
w0000r0,FULL,123,5,1.0,1,3,383,279,430,0,4.07091,0.327705,0.249116,0.0,58.6103,1.850654,4.616648,8.339224
w0000r0,FULL,124,6,1.0,1,4,264,279,279,1,4.218565,0.339591,0.235958,0.0,67.936,1.930713,3.871821,8.000062
w0000r0,FULL,125,7,1.0,1,5,1830,279,26785,0,4.284985,0.344938,0.266124,0.08322,72.6014,1.93752,6.50772,7.330938
w0000r0,FULL,126,8,1.0,1,6,303,279,494,0,4.441534,0.35754,0.249181,0.107202,84.9051,1.903355,2.546416,8.69569
w0000r1,FULL,120,2,1.0,1,0,562,279,562,0,1.795886,0.144568,0.781321,0.766088,6.0248,1.998362,0.073291,6.863974
w0000r1,FULL,121,3,1.0,1,1,279,1500,279,0,5.477495,0.440934,0.132788,0.073864,239.2467,1.684682,1.529819,7.020025
w0000r1,FULL,122,4,1.0,1,2,26349,641,18600,0,2.320149,0.18677,0.52823,0.345679,10.1772,1.958461,4.95224,2.331617
w0000r1,FULL,123,5,1.0,1,3,258,641,258,0,3.01251,0.242505,0.520841,0.440967,20.3384,1.773999,4.927801,7.406249
w0000r1,FULL,124,6,1.0,1,4,9254,561,9254,0,3.882993,0.312578,0.221488,0.013419,48.5694,1.852565,3.912263,7.383637
w0000r1,FULL,125,7,1.0,1,5,1116,220,641,0,4.864186,0.391563,0.180867,0.010958,129.5655,1.748195,1.433501,8.201998
w0000r1,FULL,126,8,1.0,1,6,22471,220,321,0,4.86277,0.391449,0.221132,0.134536,129.3821,1.809751,4.278558,8.661325
w0000r2,FULL,120,2,1.0,1,0,6930,314,6930,0,0.593964,0.047814,0.917345,0.900544,1.8112,1.944047,0.064328,7.090228
w0000r2,FULL,121,3,1.0,1,1,364,314,314,1,2.677136,0.215507,0.405341,0.256224,14.5434,1.950905,1.236653,7.149929
w0000r2,FULL,122,4,1.0,1,2,3010,303,3010,0,3.604993,0.290199,0.168134,0.0,36.7814,1.887197,3.824608,6.937631
w0000r2,FULL,123,5,1.0,1,3,20632,303,1116,0,3.487868,0.280771,0.296612,0.092754,32.7161,1.963464,2.782594,4.767944
w0000r2,FULL,124,6,1.0,1,4,303,303,421,0,3.475557,0.27978,0.309323,0.143754,32.3158,1.907031,1.375131,8.072456
w0000r2,FULL,125,7,1.0,1,5,220,279,220,0,3.680034,0.29624,0.300707,0.118319,39.6477,1.937328,1.404207,8.782149
w0000r2,FULL,126,8,1.0,1,6,16,279,16,0,3.945932,0.317645,0.261475,0.081766,51.7245,1.989822,0.69142,9.358627
w0000r3,FULL,120,2,1.0,1,0,1921,561,561,1,4.969922,0.400075,0.158999,0.118797,144.0157,1.916541,4.695249,5.966203
w0000r3,FULL,121,3,1.0,1,1,440,279,279,1,5.869512,0.472491,0.104271,0.044859,354.076,1.930037,3.990577,7.355296
w0000r3,FULL,122,4,1.0,1,2,27946,1116,279,0,5.317872,0.428085,0.092869,0.005627,203.9493,1.977833,3.335066,6.846356
w0000r3,FULL,123,5,1.0,1,3,5512,1116,5512,0,4.923883,0.396369,0.119515,0.026437,137.5357,1.959069,3.386734,7.296719
w0000r3,FULL,124,6,1.0,1,4,359,1116,359,0,4.918923,0.39597,0.128211,0.007768,136.8552,1.97649,2.194905,5.528976
w0000r3,FULL,125,7,1.0,1,5,82,1116,82,0,4.663166,0.375381,0.169021,0.045362,105.971,1.998096,0.036742,6.953718
w0000r3,FULL,126,8,1.0,1,6,87304,1116,87304,0,4.494668,0.361818,0.191887,0.075502,89.5385,1.781548,4.785505,8.571347
w0001r0,FULL,120,2,1.0,1,0,1562,310,1562,0,2.459658,0.198001,0.562329,0.495168,11.7008,1.778744,1.606111,4.581318
w0001r0,FULL,121,3,1.0,1,1,310,279,310,0,4.219709,0.339684,0.377537,0.315906,68.0137,1.857889,2.461801,5.709113
w0001r0,FULL,122,4,1.0,1,2,3594,279,279,1,5.355671,0.431128,0.125082,0.03357,211.806,1.870203,4.528424,6.448746
w0001r0,FULL,123,5,1.0,1,3,9163,1116,9163,0,4.572989,0.368122,0.16511,0.010004,96.8331,1.903807,1.264687,7.378139
w0001r0,FULL,124,6,1.0,1,4,2444,1116,2444,0,4.098186,0.329901,0.205039,0.064118,60.2309,1.932246,0.624862,7.517796
w0001r0,FULL,125,7,1.0,1,5,1116,1116,1116,1,4.431829,0.356759,0.182542,0.084834,84.0851,1.915081,3.026232,7.67939
w0001r0,FULL,126,8,1.0,1,6,59840,1116,5315,0,4.919493,0.396016,0.162223,0.075391,136.9331,1.837737,3.728491,5.565189
w0001r1,FULL,120,2,1.0,1,0,328,328,641,0,4.10695,0.330606,0.186874,0.011322,60.7611,1.408523,2.951082,6.838789
w0001r1,FULL,121,3,1.0,1,1,641,641,641,1,2.929254,0.235803,0.330458,0.103338,18.7137,1.967978,1.49942,4.989
w0001r1,FULL,122,4,1.0,1,2,695,641,271,0,2.842744,0.228839,0.349516,0.077313,17.1628,1.918833,4.339505,4.937594
w0001r1,FULL,123,5,1.0,1,3,248044,641,410,0,4.332005,0.348723,0.292456,0.208666,76.0967,1.969469,5.033607,4.767543
w0001r1,FULL,124,6,1.0,1,4,733,641,410,0,5.252505,0.422823,0.198646,0.141733,191.0443,1.911745,7.413805,4.956871
w0001r1,FULL,125,7,1.0,1,5,1478,641,279,0,4.985335,0.401316,0.163517,0.064339,146.2526,1.775205,5.166938,9.326359
w0001r1,FULL,126,8,1.0,1,6,11920,641,11920,0,4.839791,0.3896,0.140522,0.008514,126.443,1.988746,1.186193,4.616037
w0001r2,FULL,120,2,1.0,1,0,314,314,314,1,2.412878,0.194235,0.434456,0.293409,11.166,1.930678,0.308025,5.010516
w0001r2,FULL,121,3,1.0,1,1,279,279,16082,0,4.406429,0.354714,0.129371,0.007838,81.9762,1.962415,4.880515,7.179641
