example_id,stratum,position,offset,timestep,corruption_level,n_corrupted_predecessors,clean_token,proposed_token,verifier_token,accepted,entropy,normalized_entropy,top1_probability,top1_top2_margin,effective_support,existing_draftability_score,teacher_entropy,corrupt_entropy
w0000r0,FULL,120,2,1.0,1,0,695,321,271,0,4.293323,0.345609,0.137852,0.016198,73.2094,1.881938,3.131398,6.576174
w0000r0,FULL,121,3,1.0,1,1,248044,279,760,0,4.076017,0.328116,0.455517,0.415715,58.9104,1.828804,5.065639,7.400552
w0000r0,FULL,122,4,1.0,1,2,70218,279,410,0,5.04393,0.406033,0.328524,0.267753,155.0782,1.795887,7.186396,7.635845
w0000r0,FULL,123,5,1.0,1,3,383,279,430,0,5.276515,0.424756,0.20281,0.144704,195.6867,1.850654,4.616648,8.339224
w0000r0,FULL,124,6,1.0,1,4,264,15,279,0,4.137581,0.333072,0.256303,0.182871,62.6511,1.930713,3.871821,8.000062
w0000r0,FULL,125,7,1.0,1,5,1830,15,26785,0,4.231761,0.340654,0.239674,0.166578,68.8383,1.93752,6.50772,7.330938
w0000r0,FULL,126,8,1.0,1,6,303,15,494,0,3.902821,0.314174,0.269128,0.17612,49.542,1.903355,2.546416,8.69569
w0000r1,FULL,120,2,1.0,1,0,562,279,562,0,1.593633,0.128286,0.796596,0.769338,4.9216,1.998362,0.073291,6.863974
w0000r1,FULL,121,3,1.0,1,1,279,314,279,0,3.962419,0.318972,0.291517,0.034254,52.5844,1.684682,1.529819,7.020025
w0000r1,FULL,122,4,1.0,1,2,26349,314,18600,0,4.044086,0.325546,0.366786,0.279667,57.059,1.958461,4.95224,2.331617
w0000r1,FULL,123,5,1.0,1,3,258,314,258,0,4.073337,0.327901,0.252319,0.067719,58.7527,1.773999,4.927801,7.406249
w0000r1,FULL,124,6,1.0,1,4,9254,641,9254,0,4.298578,0.346032,0.30311,0.216267,73.5951,1.852565,3.912263,7.383637
w0000r1,FULL,125,7,1.0,1,5,1116,641,641,1,4.17954,0.33645,0.339707,0.272815,65.3358,1.748195,1.433501,8.201998
w0000r1,FULL,126,8,1.0,1,6,22471,641,321,0,5.191664,0.417925,0.230571,0.150888,179.7674,1.809751,4.278558,8.661325
w0000r2,FULL,120,2,1.0,1,0,6930,314,6930,0,1.710104,0.137662,0.492385,0.193738,5.5295,1.944047,0.064328,7.090228
w0000r2,FULL,121,3,1.0,1,1,364,314,314,1,1.812221,0.145882,0.615771,0.508766,6.124,1.950905,1.236653,7.149929
w0000r2,FULL,122,4,1.0,1,2,3010,314,3010,0,3.148555,0.253456,0.2676,0.031444,23.3024,1.887197,3.824608,6.937631
w0000r2,FULL,123,5,1.0,1,3,20632,314,1116,0,3.188386,0.256663,0.274499,0.108007,24.2493,1.963464,2.782594,4.767944
w0000r2,FULL,124,6,1.0,1,4,303,314,421,0,3.056736,0.246065,0.328066,0.152465,21.2581,1.907031,1.375131,8.072456
w0000r2,FULL,125,7,1.0,1,5,220,9564,220,0,4.029993,0.324411,0.221025,0.05932,56.2605,1.937328,1.404207,8.782149
w0000r2,FULL,126,8,1.0,1,6,16,303,16,0,4.347168,0.349944,0.152068,0.0,77.2594,1.989822,0.69142,9.358627
w0000r3,FULL,120,2,1.0,1,0,1921,561,561,1,5.269368,0.42418,0.175122,0.136047,194.2932,1.916541,4.695249,5.966203
w0000r3,FULL,121,3,1.0,1,1,440,279,279,1,5.723278,0.46072,0.124883,0.049137,305.9059,1.930037,3.990577,7.355296
w0000r3,FULL,122,4,1.0,1,2,27946,279,279,1,5.408128,0.43535,0.201554,0.150593,223.2133,1.977833,3.335066,6.846356
w0000r3,FULL,123,5,1.0,1,3,5512,279,5512,0,5.960677,0.47983,0.091324,0.015614,387.8725,1.959069,3.386734,7.296719
w0000r3,FULL,124,6,1.0,1,4,359,10452,359,0,6.176633,0.497214,0.086572,0.01915,481.3687,1.97649,2.194905,5.528976
w0000r3,FULL,125,7,1.0,1,5,82,321,82,0,6.043412,0.48649,0.084986,0.042253,421.328,1.998096,0.036742,6.953718
w0000r3,FULL,126,8,1.0,1,6,87304,279,87304,0,5.982823,0.481613,0.137995,0.087229,396.5584,1.781548,4.785505,8.571347
w0001r0,FULL,120,2,1.0,1,0,1562,310,1562,0,2.694301,0.216889,0.475281,0.355111,14.7952,1.778744,1.606111,4.581318
w0001r0,FULL,121,3,1.0,1,1,310,279,310,0,4.777468,0.384583,0.288193,0.215326,118.8031,1.857889,2.461801,5.709113
w0001r0,FULL,122,4,1.0,1,2,3594,310,279,0,5.124897,0.41255,0.156671,0.018409,168.1568,1.870203,4.528424,6.448746
w0001r0,FULL,123,5,1.0,1,3,9163,279,9163,0,5.619898,0.452398,0.134238,0.041978,275.8612,1.903807,1.264687,7.378139
w0001r0,FULL,124,6,1.0,1,4,2444,279,2444,0,6.024339,0.484955,0.087126,0.014896,413.3684,1.932246,0.624862,7.517796
w0001r0,FULL,125,7,1.0,1,5,1116,279,1116,0,5.826708,0.469046,0.141325,0.055607,339.24,1.915081,3.026232,7.67939
w0001r0,FULL,126,8,1.0,1,6,59840,3000,5315,0,4.824611,0.388378,0.157353,0.073128,124.538,1.837737,3.728491,5.565189
w0001r1,FULL,120,2,1.0,1,0,328,641,641,1,4.14437,0.333619,0.275375,0.19139,63.0779,1.408523,2.951082,6.838789
w0001r1,FULL,121,3,1.0,1,1,641,641,641,1,4.137401,0.333058,0.267799,0.186125,62.6398,1.967978,1.49942,4.989
w0001r1,FULL,122,4,1.0,1,2,695,641,271,0,3.620861,0.291477,0.322805,0.246132,37.3697,1.918833,4.339505,4.937594
w0001r1,FULL,123,5,1.0,1,3,248044,641,410,0,3.20623,0.258099,0.4373,0.356408,24.6858,1.969469,5.033607,4.767543
w0001r1,FULL,124,6,1.0,1,4,733,641,410,0,4.073726,0.327932,0.341989,0.270304,58.7756,1.911745,7.413805,4.956871
w0001r1,FULL,125,7,1.0,1,5,1478,641,279,0,4.536006,0.365145,0.321861,0.269318,93.3174,1.775205,5.166938,9.326359
w0001r1,FULL,126,8,1.0,1,6,11920,641,11920,0,3.864334,0.311076,0.429963,0.378611,47.6715,1.988746,1.186193,4.616037
w0001r2,FULL,120,2,1.0,1,0,314,314,314,1,2.896486,0.233165,0.374324,0.236618,18.1104,1.930678,0.308025,5.010516
w0001r2,FULL,121,3,1.0,1,1,279,314,16082,0,3.70529,0.298273,0.159502,0.018742,40.6618,1.962415,4.880515,7.179641
w0001r2,FULL,122,4,1.0,1,2,1788,321,1788,0,4.145079,0.333676,0.14586,0.008837,63.1226,1.991281,0.494199,5.75577
w0001r2,FULL,123,5,1.0,1,3,803,641,803,0,4.206977,0.338659,0.153146,0.026184,67.1533,1.990771,0.045969,3.891989
w0001r2,FULL,124,6,1.0,1,4,321,641,641,1,4.238143,0.341167,0.159159,0.027212,69.2791,1.891316,1.665371,6.23036
w0001r2,FULL,125,7,1.0,1,5,19417,641,47771,0,4.871018,0.392113,0.121151,0.00734,130.4536,1.906561,4.2406,8.001421
w0001r2,FULL,126,8,1.0,1,6,380,641,2201,0,4.462512,0.359229,0.16816,0.045132,86.705,1.866189,3.424476,8.541684
w0001r3,FULL,120,2,1.0,1,0,1848,417,760,0,4.658186,0.374981,0.137207,0.036824,105.4446,1.96093,7.268115,6.595926
w0001r3,FULL,121,3,1.0,1,1,5361,417,220,0,5.262015,0.423588,0.18023,0.109651,192.8698,1.893093,3.47228,4.046757
w0001r3,FULL,122,4,1.0,1,2,220,417,220,0,5.159435,0.415331,0.152529,0.017923,174.0661,1.9993,0.014458,3.02736
w0001r3,FULL,123,5,1.0,1,3,18,417,17,0,5.348558,0.430555,0.185791,0.09803,210.3049,1.991469,1.133572,8.186138
w0001r3,FULL,124,6,1.0,1,4,15,220,15,0,5.479687,0.441111,0.108967,0.006602,239.7717,1.986504,0.299846,4.159347
w0001r3,FULL,125,7,1.0,1,5,1116,417,1116,0,5.659116,0.455555,0.102889,0.01209,286.895,1.927679,0.822046,8.541513
w0001r3,FULL,126,8,1.0,1,6,220,220,220,1,5.169135,0.416112,0.154961,0.026494,175.7628,1.982525,1.800931,3.316355
w0002r0,FULL,120,2,1.0,1,0,3820,1116,5587,0,6.131197,0.493557,0.290554,0.273104,459.9867,1.990122,7.409493,3.449388
w0002r0,FULL,121,3,1.0,1,1,181353,1116,5587,0,5.622739,0.452626,0.319429,0.281278,276.6461,1.60788,6.276745,8.932207
w0002r0,FULL,122,4,1.0,1,2,3205,1116,3205,0,4.861589,0.391354,0.381085,0.338329,129.2294,1.999312,0.56061,6.794633
w0002r0,FULL,123,5,1.0,1,3,2878,359,1060,0,2.564625,0.20645,0.382533,0.150515,12.9958,1.998158,0.734756,2.321184
w0002r0,FULL,124,6,1.0,1,4,1116,1116,1116,1,5.87585,0.473002,0.233057,0.166285,356.3273,1.605048,2.348481,6.019895
w0002r0,FULL,125,7,1.0,1,5,35510,1116,279,0,5.911146,0.475843,0.271443,0.217993,369.129,1.641681,4.568867,8.629892
w0002r0,FULL,126,8,1.0,1,6,1116,279,321,0,5.760696,0.463732,0.203982,0.087757,317.5694,1.757374,3.726667,6.241634
w0002r1,FULL,120,2,1.0,1,0,466,1116,1116,1,4.180622,0.336537,0.256786,0.206222,65.4065,1.781741,2.559986,7.074163
w0002r1,FULL,121,3,1.0,1,1,39837,1116,888,0,4.121112,0.331746,0.251527,0.187931,61.6277,1.821188,5.341228,7.409206
w0002r1,FULL,122,4,1.0,1,2,321,1116,641,0,4.145488,0.333709,0.2407,0.152151,63.1484,1.667006,2.363121,7.54759
w0002r1,FULL,123,5,1.0,1,3,7143,1116,47966,0,5.947901,0.478802,0.113936,0.063377,382.9486,1.879912,5.311972,6.876278
w0002r1,FULL,124,6,1.0,1,4,303,1116,641,0,5.73592,0.461737,0.068988,0.008106,309.798,1.86609,2.412631,6.754161
w0002r1,FULL,125,7,1.0,1,5,866,279,866,0,5.704899,0.45924,0.116462,0.073618,300.3351,1.950507,2.491065,7.87312
w0002r1,FULL,126,8,1.0,1,6,1560,279,1560,0,5.901772,0.475088,0.103876,0.051644,365.6847,1.980526,0.490818,8.06468
w0002r2,FULL,120,2,1.0,1,0,53964,15,53964,0,5.209861,0.41939,0.096233,0.021287,183.0686,1.906954,4.132993,2.321197
w0002r2,FULL,121,3,1.0,1,1,9919,15,998,0,4.966828,0.399826,0.126303,0.039496,143.5707,1.863755,2.908271,8.071856
w0002r2,FULL,122,4,1.0,1,2,2261,998,303,0,4.933938,0.397178,0.114344,0.035757,138.9255,1.930155,1.141376,9.123878
w0002r2,FULL,123,5,1.0,1,3,1160,15,279,0,4.766996,0.38374,0.120714,0.020639,117.5655,1.932214,1.029247,6.89251
w0002r2,FULL,124,6,1.0,1,4,6735,998,6735,0,5.246981,0.422378,0.119516,0.075548,189.9918,1.898725,2.301339,7.559902
w0002r2,FULL,125,7,1.0,1,5,362,16,362,0,4.884226,0.393177,0.072228,0.008487,132.1881,1.991152,0.087417,8.801428
w0002r2,FULL,126,8,1.0,1,6,2502,15,1116,0,4.582807,0.368913,0.086928,0.014862,97.7885,1.867701,2.328036,8.822077
w0002r3,FULL,120,2,1.0,1,0,42143,561,769,0,3.85656,0.31045,0.228516,0.071459,47.3024,1.797486,7.177219,5.345198
w0002r3,FULL,121,3,1.0,1,1,13227,533,1116,0,5.812125,0.467872,0.066627,0.011391,334.3287,1.868196,3.409708,6.542477
w0002r3,FULL,122,4,1.0,1,2,658,1116,658,0,5.7698,0.464465,0.057447,0.015418,320.4737,1.960947,4.304471,6.295128
w0002r3,FULL,123,5,1.0,1,3,318,1116,1116,1,5.383099,0.433336,0.088112,0.023648,217.6958,1.638595,2.563263,7.970031
w0002r3,FULL,124,6,1.0,1,4,3750,279,220,0,5.649053,0.454745,0.128853,0.064061,284.0224,1.74026,4.817638,7.439181
w0002r3,FULL,125,7,1.0,1,5,310,279,430,0,5.867543,0.472333,0.108608,0.046725,353.3798,1.937183,1.634999,8.026426
w0002r3,FULL,126,8,1.0,1,6,24424,279,279,1,5.883356,0.473606,0.108758,0.006589,359.0121,1.950983,3.237258,5.878796
w0003r0,FULL,120,2,1.0,1,0,1521,4686,321,0,5.27612,0.424724,0.07295,0.008572,195.6095,1.706053,3.925065,6.847348
w0003r0,FULL,121,3,1.0,1,1,781,4686,314,0,5.681475,0.457355,0.07974,0.021401,293.3818,1.800429,2.457003,7.924168
w0003r0,FULL,122,4,1.0,1,2,8415,279,8415,0,5.93857,0.478051,0.118029,0.046441,379.3922,1.961188,2.605244,7.204263
w0003r0,FULL,123,5,1.0,1,3,78021,4686,421,0,7.194494,0.579152,0.087562,0.046201,1332.0765,1.962719,4.039532,6.471047
w0003r0,FULL,124,6,1.0,1,4,364,328,494,0,6.350928,0.511245,0.043452,0.002633,573.0244,1.839473,2.009749,7.094614
w0003r0,FULL,125,7,1.0,1,5,836,279,836,0,6.226107,0.501197,0.115731,0.061063,505.7824,1.981109,1.672216,8.980348
w0003r0,FULL,126,8,1.0,1,6,3302,279,29050,0,6.397681,0.515009,0.065359,0.017541,600.4509,1.96463,3.650071,7.167527
w0003r1,FULL,120,2,1.0,1,0,62391,62391,62391,1,3.109291,0.250296,0.35818,0.126922,22.4051,1.771643,2.709781,7.621035
w0003r1,FULL,121,3,1.0,1,1,769,12552,769,0,3.850245,0.309942,0.320915,0.239775,47.0046,1.770815,1.332794,6.974611
w0003r1,FULL,122,4,1.0,1,2,405,321,405,0,2.77259,0.223192,0.225884,0.0,16.0,1.997741,0.090455,6.269221
w0003r1,FULL,123,5,1.0,1,3,641,321,641,0,3.03675,0.244456,0.249346,0.055155,20.8374,1.853794,2.060965,8.492655
w0003r1,FULL,124,6,1.0,1,4,695,321,561,0,3.505699,0.282206,0.225267,0.049829,33.3047,1.749114,4.388104,7.156997
w0003r1,FULL,125,7,1.0,1,5,248044,279,760,0,4.072603,0.327842,0.332071,0.274365,58.7096,1.722769,5.631306,8.959776
w0003r1,FULL,126,8,1.0,1,6,1049,641,410,0,4.429253,0.356552,0.15522,0.026538,83.8688,1.665262,7.720044,8.554938
w0003r2,FULL,120,2,1.0,1,0,17,220,17,0,7.015561,0.564748,0.108512,0.075418,1113.8314,1.991158,0.549929,7.836222
w0003r2,FULL,121,3,1.0,1,1,15,557,15,0,6.160201,0.495892,0.131535,0.073166,473.5233,1.992323,0.061938,7.187738
w0003r2,FULL,122,4,1.0,1,2,16,279,16,0,6.457691,0.519839,0.094555,0.033506,637.587,1.99664,0.957535,6.564622
w0003r2,FULL,123,5,1.0,1,3,18,279,18,0,6.36134,0.512083,0.119036,0.066214,579.0215,1.999697,2.301141,6.866071
w0003r2,FULL,124,6,1.0,1,4,1116,279,1116,0,6.091043,0.490325,0.098481,0.016837,441.8823,1.812864,0.98015,7.970093
w0003r2,FULL,125,7,1.0,1,5,279,279,279,1,6.159761,0.495856,0.138693,0.077148,473.3149,1.440296,5.652071,6.41203
w0003r2,FULL,126,8,1.0,1,6,5300,279,20583,0,6.442924,0.518651,0.10767,0.03367,628.2415,1.708397,6.543838,8.215675
w0003r3,FULL,120,2,1.0,1,0,69581,424,279,0,5.513136,0.443803,0.113696,0.019439,247.9275,1.968258,4.443452,3.438278
w0003r3,FULL,121,3,1.0,1,1,866,424,279,0,5.91937,0.476505,0.126564,0.021639,372.1771,1.825108,3.665947,7.800013
