stratum,predictor,quintile,n,mean_value,acceptance,ci_low,ci_high
FULL,entropy,0,469,0.14164,0.39446,0.35125,0.43937
FULL,entropy,1,597,0.27351,0.16248,0.13506,0.19421
FULL,entropy,2,591,0.33464,0.12352,0.0994,0.1525
FULL,entropy,3,522,0.3805,0.11686,0.09206,0.14726
FULL,entropy,4,509,0.45631,0.10806,0.08396,0.13802
FULL,gap,0,521,1.6808,0.24376,0.20886,0.28242
FULL,gap,1,515,1.87198,0.18447,0.15335,0.22026
FULL,gap,2,589,1.92928,0.19694,0.16683,0.23098
FULL,gap,3,503,1.96607,0.14115,0.11344,0.17431
FULL,gap,4,560,1.99151,0.11071,0.08733,0.1394
FULL,teacher_entropy,0,510,0.2574,0.18431,0.15306,0.22028
FULL,teacher_entropy,1,552,1.38894,0.22464,0.19179,0.26129
FULL,teacher_entropy,2,586,2.4061,0.19454,0.16452,0.22854
FULL,teacher_entropy,3,532,3.50817,0.15038,0.12251,0.18325
FULL,teacher_entropy,4,508,5.12297,0.11614,0.09112,0.14693
SCHEDULE,entropy,0,541,0.06498,0.86506,0.83369,0.89129
SCHEDULE,entropy,1,577,0.18382,0.59619,0.55564,0.63546
SCHEDULE,entropy,2,499,0.26884,0.50701,0.46326,0.55066
SCHEDULE,entropy,3,538,0.33905,0.37546,0.33556,0.41713
SCHEDULE,entropy,4,533,0.44518,0.34146,0.30247,0.38273
SCHEDULE,gap,0,0,,,,
SCHEDULE,gap,1,1165,0.21977,0.86781,0.84715,0.88606
SCHEDULE,gap,2,501,1.62287,0.39521,0.35335,0.43866
SCHEDULE,gap,3,539,1.89775,0.25046,0.21574,0.28872
SCHEDULE,gap,4,483,1.97846,0.21739,0.18291,0.25633
SCHEDULE,teacher_entropy,0,510,0.2574,0.58235,0.53909,0.62438
SCHEDULE,teacher_entropy,1,552,1.38894,0.57065,0.52901,0.61132
SCHEDULE,teacher_entropy,2,586,2.4061,0.56143,0.52099,0.60108
SCHEDULE,teacher_entropy,3,532,3.50817,0.50564,0.46327,0.54793
SCHEDULE,teacher_entropy,4,508,5.12297,0.47047,0.42745,0.51394
