stratum,predictor,quintile,n,mean_value,acceptance,ci_low,ci_high
FULL,entropy,0,497,0.17506,0.31388,0.27464,0.35598
FULL,entropy,1,501,0.28994,0.16367,0.13386,0.19861
FULL,entropy,2,594,0.35719,0.09259,0.07183,0.11859
FULL,entropy,3,529,0.40929,0.12476,0.09928,0.15566
FULL,entropy,4,567,0.48315,0.08466,0.06444,0.11046
FULL,gap,0,521,1.6808,0.25528,0.21972,0.29442
FULL,gap,1,515,1.87198,0.16893,0.13905,0.20372
FULL,gap,2,589,1.92928,0.14431,0.11824,0.175
FULL,gap,3,503,1.96607,0.11332,0.0885,0.144
FULL,gap,4,560,1.99151,0.08036,0.0606,0.10584
FULL,teacher_entropy,0,510,0.2574,0.12941,0.10303,0.16134
FULL,teacher_entropy,1,552,1.38894,0.20471,0.17315,0.24036
FULL,teacher_entropy,2,586,2.4061,0.18771,0.15817,0.22133
FULL,teacher_entropy,3,532,3.50817,0.14286,0.11568,0.17516
FULL,teacher_entropy,4,508,5.12297,0.08268,0.06175,0.10987
SCHEDULE,entropy,0,557,0.07544,0.86535,0.83449,0.89121
SCHEDULE,entropy,1,592,0.1985,0.59291,0.55285,0.63176
SCHEDULE,entropy,2,501,0.28474,0.48703,0.44352,0.53073
SCHEDULE,entropy,3,518,0.3612,0.31853,0.27987,0.35987
SCHEDULE,entropy,4,520,0.46383,0.25962,0.22379,0.29896
SCHEDULE,gap,0,0,,,,
SCHEDULE,gap,1,1165,0.21977,0.87639,0.85625,0.89407
SCHEDULE,gap,2,501,1.62287,0.32136,0.28196,0.36348
SCHEDULE,gap,3,539,1.89775,0.20594,0.17394,0.2421
SCHEDULE,gap,4,483,1.97846,0.17391,0.14272,0.21025
SCHEDULE,teacher_entropy,0,510,0.2574,0.54314,0.49974,0.58589
SCHEDULE,teacher_entropy,1,552,1.38894,0.57971,0.53812,0.6202
SCHEDULE,teacher_entropy,2,586,2.4061,0.53413,0.49365,0.57417
SCHEDULE,teacher_entropy,3,532,3.50817,0.46429,0.42231,0.50677
SCHEDULE,teacher_entropy,4,508,5.12297,0.43307,0.39064,0.4765
