stratum,offset,n,acceptance,auroc_neg_entropy,auroc_neg_gap,n_low,acc_low,n_high,acc_high,adequate
FULL,2,384,0.46094,0.66855,0.56754,123,0.60976,126,0.30159,True
FULL,3,384,0.23438,0.64751,0.51259,109,0.36697,136,0.15441,True
FULL,4,384,0.13542,0.63392,0.59077,106,0.19811,131,0.0687,True
FULL,5,384,0.11458,0.68008,0.50943,130,0.16923,118,0.05085,True
FULL,6,384,0.11979,0.5164,0.61416,137,0.13869,116,0.15517,True
FULL,7,384,0.09115,0.49349,0.69578,141,0.0922,113,0.09735,True
FULL,8,384,0.07031,0.58689,0.5124,125,0.072,120,0.04167,True
SCHEDULE,2,384,0.67969,0.67386,0.80659,144,0.81944,121,0.54545,True
SCHEDULE,3,384,0.57552,0.69647,0.83419,117,0.78632,130,0.4,True
SCHEDULE,4,384,0.55208,0.71805,0.83606,106,0.81132,118,0.37288,True
SCHEDULE,5,384,0.51562,0.7141,0.84506,144,0.73611,126,0.33333,True
SCHEDULE,6,384,0.52083,0.69147,0.86938,144,0.70139,138,0.36232,True
SCHEDULE,7,384,0.46875,0.71127,0.80677,129,0.70543,130,0.29231,True
SCHEDULE,8,384,0.46094,0.72745,0.80308,140,0.65,115,0.26087,True
