stratum,offset,n,acceptance,auroc_neg_entropy,auroc_neg_gap,n_low,acc_low,n_high,acc_high,adequate
FULL,2,384,0.375,0.71224,0.64638,118,0.57627,128,0.17188,True
FULL,3,384,0.17708,0.64012,0.57223,113,0.30973,129,0.14729,True
FULL,4,384,0.11979,0.56908,0.58175,115,0.16522,144,0.10417,True
FULL,5,384,0.09896,0.64192,0.57454,111,0.16216,141,0.07092,True
FULL,6,384,0.09375,0.55855,0.6325,117,0.11111,126,0.05556,True
FULL,7,384,0.10938,0.4851,0.66277,134,0.08955,126,0.09524,True
FULL,8,384,0.08594,0.44583,0.60636,118,0.05085,120,0.1,True
SCHEDULE,2,384,0.65365,0.73046,0.83465,132,0.87879,126,0.45238,True
SCHEDULE,3,384,0.54948,0.73125,0.83536,122,0.83607,115,0.33043,True
SCHEDULE,4,384,0.52083,0.70546,0.85758,117,0.73504,126,0.33333,True
SCHEDULE,5,384,0.48177,0.77485,0.85355,148,0.75676,135,0.22222,True
SCHEDULE,6,384,0.48438,0.75948,0.89025,143,0.74126,122,0.22951,True
SCHEDULE,7,384,0.44531,0.74107,0.86303,130,0.68462,137,0.24818,True
SCHEDULE,8,384,0.45052,0.77064,0.85972,133,0.70677,133,0.21053,True
