arm,category,rows,tok_s_median,tok_s_mean,tok_s_sd,decode_tok_s_median,decode_speedup_vs_ar,tok_s_p25,tok_s_p75,speedup_vs_ar,tpf_median,ms_per_token_median,ttft_ms_median,acceptance_rate,mean_accepted_prefix,mean_committed_per_cycle,cycles,proposal_ms,verify_ms,commit_ms,overhead_ms,lossless
adapt_entropy,code,9,55.63,57.5424,5.4654,56.9572,,53.684,63.111,,1.4713,17.9758,53.6,0.19,1.1382,3.122,369,26.2461,26.2238,0.3145,0.644,False
adapt_entropy,dialogue,9,58.7,57.9369,6.3608,60.0038,,51.562,63.688,,1.5422,17.0359,47.5,0.2367,1.0234,3.0,384,25.2164,25.0464,0.3035,0.6255,True
adapt_entropy,factual,9,57.886,59.7662,6.5764,58.4956,,55.49,65.899,,1.5802,17.275,23.0,0.2025,1.3248,3.2821,351,26.5083,26.9252,0.3199,0.6497,False
adapt_entropy,high_entropy,9,71.419,83.2383,20.3155,72.4023,,69.134,108.072,,1.8028,14.0023,24.6,0.4397,2.2826,4.1739,276,25.3131,25.0529,0.2942,0.6232,False
adapt_entropy,math,9,60.575,60.6873,2.193,61.9675,,58.935,62.295,,1.6203,16.5086,48.5,0.255,1.3793,3.3103,348,26.2556,26.3661,0.314,0.6452,False
adapt_entropy,prose,9,52.482,58.5514,9.3008,53.0834,,51.991,70.109,,1.3763,19.0539,22.9,0.2036,1.0315,3.0236,381,25.6016,24.9895,0.3106,0.6312,False
adapt_entropy,reasoning,9,59.215,58.9982,3.7563,60.7874,,55.625,61.828,,1.5422,16.8875,54.2,0.234,1.1803,3.1475,366,25.7021,25.6416,0.2931,0.6075,True
adapt_entropy,structured,9,56.709,57.6649,3.9472,57.4455,,54.843,60.895,,1.5422,17.6336,55.0,0.2068,1.1885,3.1475,366,26.3784,26.374,0.3094,0.639,False
adapt_entropy,technical,9,50.126,49.9869,2.3379,51.2184,,48.373,51.612,,1.3196,19.95,29.1,0.1758,0.6301,2.6301,438,25.7141,25.1845,0.3164,0.6277,False
adapt_ev,code,9,56.42,58.0837,5.6103,57.8688,,54.099,63.674,,1.4713,17.7242,54.2,0.3022,1.0472,3.0236,381,25.4824,24.7843,0.3114,0.6197,False
adapt_ev,dialogue,9,60.762,57.5392,6.254,62.1601,,50.527,61.556,,1.5422,16.4578,47.6,0.24,1.096,3.072,375,25.7677,26.2496,0.317,0.6349,True
adapt_ev,factual,9,54.667,57.6407,6.8721,55.2033,,52.873,64.689,,1.4713,18.293,22.3,0.1938,1.063,3.0236,381,25.6859,25.4162,0.3044,0.6303,False
adapt_ev,high_entropy,9,73.48,83.4501,27.2866,74.5486,,59.067,116.536,,1.8551,13.6094,24.6,0.5625,1.9394,3.8788,297,25.0178,24.3028,0.276,0.6111,True
adapt_ev,math,9,57.105,57.3184,2.9515,58.3622,,55.434,58.96,,1.5802,17.5117,48.2,0.2328,1.0952,3.0476,378,25.7006,26.1362,0.3099,0.6394,False
adapt_ev,prose,9,51.263,51.0852,0.7222,51.8555,,50.481,51.486,,1.3474,19.507,23.0,0.1452,0.7063,2.6853,429,26.2464,26.0855,0.2989,0.6383,False
adapt_ev,reasoning,9,56.201,56.9484,5.2567,56.899,,52.374,62.05,,1.3474,17.793,54.3,0.4228,0.8456,2.8235,408,24.6323,23.2247,0.2804,0.5882,True
adapt_ev,structured,9,56.536,56.9427,2.3126,57.9579,,56.12,58.76,,1.5059,17.6875,55.5,0.377,0.9542,2.9313,393,25.1956,24.4482,0.306,0.631,False
