arm,accepted,probability
adapt_entropy,0,0.37237
adapt_entropy,1,0.3193
adapt_entropy,2,0.15279
adapt_entropy,3,0.09332
adapt_entropy,4,0.03934
adapt_entropy,5,0.01098
adapt_entropy,6,0.00366
adapt_entropy,7,0.00823
adapt_ev,0,0.38989
adapt_ev,1,0.38646
adapt_ev,2,0.11825
adapt_ev,3,0.08398
adapt_ev,4,0.01028
adapt_ev,5,0.00171
adapt_ev,6,0.00086
adapt_ev,7,0.00857
adapt_survival,0,0.3798
adapt_survival,1,0.6202
uno_k2,0,0.3798
uno_k2,1,0.6202
uno_k4,0,0.40211
uno_k4,1,0.27392
uno_k4,2,0.17647
uno_k4,3,0.1475
uno_k8,0,0.39241
uno_k8,1,0.29476
uno_k8,2,0.17631
uno_k8,3,0.08228
uno_k8,4,0.03165
uno_k8,5,0.00904
uno_k8,6,0.00362
uno_k8,7,0.00995
