arm,context_length,j,p_survive
adapt_entropy,,1,0.62763
adapt_entropy,,2,0.30833
adapt_entropy,,3,0.15554
adapt_entropy,,4,0.06221
adapt_entropy,,5,0.02287
adapt_entropy,,6,0.01189
adapt_entropy,,7,0.00823
adapt_entropy,,8,0.0
adapt_ev,,1,0.61011
adapt_ev,,2,0.22365
adapt_ev,,3,0.1054
adapt_ev,,4,0.02142
adapt_ev,,5,0.01114
adapt_ev,,6,0.00943
adapt_ev,,7,0.00857
adapt_ev,,8,0.0
adapt_survival,,1,0.6202
adapt_survival,,2,0.0
uno_k2,,1,0.6202
uno_k2,,2,0.0
uno_k4,,1,0.59789
uno_k4,,2,0.32397
uno_k4,,3,0.1475
uno_k4,,4,0.0
uno_k8,,1,0.60759
uno_k8,,2,0.31284
uno_k8,,3,0.13653
uno_k8,,4,0.05425
uno_k8,,5,0.0226
uno_k8,,6,0.01356
uno_k8,,7,0.00995
uno_k8,,8,0.0
