arm,category,max_tokens,rows,tok_s_median,tok_s_mean,tok_s_sd,decode_tok_s_median,decode_speedup_vs_ar,tok_s_p25,tok_s_p75,speedup_vs_ar,tpf_median,ms_per_token_median,ttft_ms_median,acceptance_rate,mean_accepted_prefix,mean_committed_per_cycle,cycles,proposal_ms,verify_ms,commit_ms,overhead_ms,lossless
ar,code,128,9,48.584,48.7371,0.2777,49.5625,,48.546,49.054,,1.0,20.5828,53.5,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,dialogue,128,9,48.608,48.5244,0.4188,49.5932,,48.117,48.639,,1.0,20.5727,53.3,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,factual,128,9,49.216,49.1867,0.1394,49.6278,,49.094,49.231,,1.0,20.3188,21.9,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,high_entropy,128,9,49.035,48.9023,0.329,49.549,,48.765,49.153,,1.0,20.3937,24.6,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,math,128,9,48.609,48.7256,0.2676,49.5797,,48.542,48.943,,1.0,20.5719,53.5,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,prose,128,9,49.181,49.1169,0.1946,49.6201,,49.068,49.242,,1.0,20.3328,23.1,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,reasoning,128,9,48.602,48.4416,0.2928,49.6086,,48.139,48.604,,1.0,20.575,54.8,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,structured,128,9,48.544,48.5428,0.1433,49.5644,,48.53,48.618,,1.0,20.6,53.7,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,technical,128,9,48.644,48.6374,0.3332,49.5663,,48.506,48.746,,1.0,20.5578,47.5,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
uno_k4,code,128,9,58.476,59.3411,3.4041,59.9616,,55.944,63.621,,1.4713,17.1008,54.0,0.3256,1.0234,3.0,384,24.6661,23.8708,0.2901,0.8216,False
uno_k4,dialogue,128,9,62.989,58.0426,8.1837,64.4966,,47.306,63.667,,1.5802,15.8758,47.5,0.425,0.9173,2.8872,399,24.6575,23.8611,0.2824,0.8207,False
uno_k4,factual,128,9,60.725,62.7417,6.3145,61.3732,,56.877,70.589,,1.5059,16.4672,21.9,0.3492,1.1463,3.122,369,24.65,23.8746,0.2829,0.8163,False
uno_k4,high_entropy,128,9,70.582,70.2458,14.8057,71.5364,,53.212,86.804,,1.7534,14.168,24.2,0.5463,1.4779,3.3982,339,24.6612,23.8737,0.2781,0.8325,False
uno_k4,math,128,9,64.522,61.9957,4.9433,66.1089,,55.516,65.944,,1.6203,15.4984,47.6,0.453,1.187,3.122,369,24.6436,23.8701,0.2809,0.8235,False
uno_k4,prose,128,9,55.574,58.8789,7.7087,56.1084,,52.367,68.306,,1.3763,17.9937,22.1,0.2681,0.9394,2.9091,396,24.641,23.8524,0.2863,0.8172,False
uno_k4,reasoning,128,9,64.363,61.6632,4.427,65.6074,,56.001,64.684,,1.6203,15.5367,54.5,0.4359,1.1545,3.122,369,24.6475,23.9022,0.2813,0.8234,True
uno_k4,structured,128,9,65.255,63.9709,5.4601,66.1943,,57.215,69.495,,1.6203,15.3242,54.2,0.4444,1.2521,3.2269,357,24.6418,23.8719,0.2872,0.8199,False
uno_k4,technical,128,9,52.572,52.4677,0.4842,53.36,,52.144,52.746,,1.3196,19.0211,27.8,0.2222,0.6621,2.6483,435,24.6527,23.8487,0.2927,0.8246,False
ar,code,256,9,48.813,48.3937,0.8637,49.3256,,47.851,48.883,,1.0,20.4863,53.7,0.0,0.0,0.0,2304,0.0,0.0,0.0,0.0,True
ar,dialogue,256,9,48.032,48.2304,0.8045,48.5253,,47.905,48.873,,1.0,20.8195,53.5,0.0,0.0,0.0,2304,0.0,0.0,0.0,0.0,True
ar,factual,256,9,49.134,48.9138,0.3593,49.3456,,48.487,49.168,,1.0,20.3523,21.9,0.0,0.0,0.0,2304,0.0,0.0,0.0,0.0,True
ar,high_entropy,256,9,48.17,48.1353,0.9432,48.4216,,47.649,49.122,,1.0,20.7602,25.2,0.0,0.0,0.0,2304,0.0,0.0,0.0,0.0,True
ar,math,256,9,48.844,48.1829,1.1594,49.3399,,46.829,48.914,,1.0,20.4734,53.4,0.0,0.0,0.0,2304,0.0,0.0,0.0,0.0,True
ar,prose,256,9,49.15,48.8558,0.4673,49.377,,48.379,49.173,,1.0,20.3457,23.2,0.0,0.0,0.0,2304,0.0,0.0,0.0,0.0,True
ar,reasoning,256,9,47.852,47.9336,0.8071,48.3055,,47.375,48.833,,1.0,20.8977,55.0,0.0,0.0,0.0,2304,0.0,0.0,0.0,0.0,True
ar,structured,256,9,48.857,48.1097,1.1626,49.3656,,46.677,48.879,,1.0,20.4676,54.2,0.0,0.0,0.0,2304,0.0,0.0,0.0,0.0,True
ar,technical,256,9,48.903,48.2089,1.1606,49.3741,,46.804,48.938,,1.0,20.4488,47.6,0.0,0.0,0.0,2304,0.0,0.0,0.0,0.0,True
uno_k4,code,256,9,62.798,64.1541,3.3502,63.6199,,61.923,66.871,,1.5706,15.9238,53.7,0.3909,1.2532,3.2405,711,24.6802,23.8785,0.2898,0.8285,False
uno_k4,dialogue,256,9,68.921,64.0157,8.5919,69.9415,,52.882,69.645,,1.7415,14.5094,47.4,0.5068,1.2033,3.1867,723,24.8815,24.0242,0.2921,0.868,False
uno_k4,factual,256,9,61.064,64.16,5.9809,61.3835,,59.699,71.68,,1.5148,16.3766,21.9,0.3532,1.1992,3.1867,723,24.6459,23.8817,0.2914,0.8243,False
uno_k4,high_entropy,256,9,76.741,74.5739,15.9409,77.3087,,56.337,90.864,,1.9248,13.0309,24.5,0.6465,1.6604,3.6226,636,24.7492,24.1263,0.2854,0.8402,False
