arm,category,rows,tok_s_median,tok_s_mean,tok_s_sd,decode_tok_s_median,decode_speedup_vs_ar,tok_s_p25,tok_s_p75,speedup_vs_ar,tpf_median,ms_per_token_median,ttft_ms_median,acceptance_rate,mean_accepted_prefix,mean_committed_per_cycle,cycles,proposal_ms,verify_ms,commit_ms,overhead_ms,lossless
ar,code,9,47.234,47.3259,0.2629,48.1384,,47.174,47.593,,1.0,21.1711,52.7,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,dialogue,9,47.223,47.3018,0.2755,48.1239,,47.166,47.61,,1.0,21.1766,53.3,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,factual,9,47.761,47.7592,0.0401,48.1674,,47.738,47.77,,1.0,20.9375,22.9,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,high_entropy,9,47.674,47.6447,0.0849,48.1257,,47.663,47.684,,1.0,20.9758,25.5,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,math,9,47.204,47.3411,0.2477,48.1203,,47.176,47.577,,1.0,21.1844,53.2,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,prose,9,47.744,47.7206,0.0773,48.1837,,47.68,47.78,,1.0,20.9445,23.7,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,reasoning,9,47.163,47.1716,0.0787,48.1167,,47.111,47.227,,1.0,21.2031,53.8,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,structured,9,47.171,47.1927,0.0662,48.1275,,47.15,47.234,,1.0,21.2,54.5,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,technical,9,47.31,47.331,0.2542,48.1275,,47.127,47.618,,1.0,21.1375,48.5,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
conf_k4,code,9,55.893,56.6967,3.2633,57.2016,,53.582,60.703,,1.4713,17.8914,52.6,0.3256,1.0234,3.0,384,25.4005,24.6448,0.285,0.5682,False
conf_k4,dialogue,9,60.045,55.5168,7.8211,61.4528,,45.122,61.187,,1.5802,16.6539,48.8,0.425,0.9173,2.8872,399,25.4154,24.6242,0.2896,0.5666,False
conf_k4,factual,9,57.964,59.9108,5.985,58.5705,,54.217,67.507,,1.5059,17.2523,22.5,0.3492,1.1463,3.122,369,25.3999,24.6285,0.2837,0.5712,False
conf_k4,high_entropy,9,67.459,67.2221,14.1414,68.3615,,50.807,83.382,,1.7534,14.8242,25.1,0.5463,1.4779,3.3982,339,25.4006,24.6274,0.2796,0.5762,False
conf_k4,math,9,61.599,59.1728,4.6916,63.1008,,53.005,62.752,,1.6203,16.2336,48.9,0.453,1.187,3.122,369,25.4069,24.6353,0.2811,0.5738,False
conf_k4,prose,9,52.991,56.1358,7.2907,53.4893,,49.733,65.631,,1.3763,18.8711,23.1,0.2681,0.9394,2.9091,396,25.3809,24.6249,0.2871,0.5719,False
conf_k4,reasoning,9,61.418,59.0463,4.1829,63.0449,,53.533,62.157,,1.6203,16.282,53.9,0.4359,1.1545,3.122,369,25.3905,24.6124,0.2773,0.5616,True
conf_k4,structured,9,62.255,61.1077,5.2062,63.1288,,54.637,66.463,,1.6203,16.0633,54.1,0.4444,1.2521,3.2269,357,25.3891,24.6286,0.2825,0.5698,False
conf_k4,technical,9,50.155,50.1947,0.4461,51.2533,,49.744,50.706,,1.3196,19.9383,29.0,0.2222,0.6621,2.6483,435,25.4126,24.6311,0.2942,0.5729,False
