arm,accepted,probability
uno_k2,0,0.42
uno_k2,1,0.58
uno_k4,0,0.45455
uno_k4,1,0.27273
uno_k4,2,0.15909
uno_k4,3,0.11364
uno_k8,0,0.4
uno_k8,1,0.275
uno_k8,2,0.175
uno_k8,3,0.075
uno_k8,4,0.05
uno_k8,7,0.025
uno_k2,0,0.29167
uno_k2,1,0.70833
uno_k4,0,0.30769
uno_k4,1,0.28205
uno_k4,2,0.17949
uno_k4,3,0.23077
uno_k8,0,0.36585
uno_k8,1,0.31707
uno_k8,2,0.14634
uno_k8,3,0.12195
uno_k8,4,0.04878
uno_k2,0,0.2766
uno_k2,1,0.7234
uno_k4,0,0.30556
uno_k4,1,0.13889
uno_k4,2,0.25
uno_k4,3,0.30556
uno_k8,0,0.25
uno_k8,1,0.22222
uno_k8,2,0.30556
uno_k8,3,0.11111
uno_k8,4,0.05556
uno_k8,5,0.05556
uno_k2,0,0.13333
uno_k2,1,0.86667
uno_k4,0,0.25
uno_k4,1,0.19444
uno_k4,2,0.22222
uno_k4,3,0.33333
uno_k8,0,0.28125
uno_k8,1,0.1875
uno_k8,2,0.21875
uno_k8,3,0.0625
uno_k8,4,0.0625
uno_k8,5,0.1875
