arm,context_length,rows,tok_s_median,tok_s_mean,tok_s_sd,decode_tok_s_median,decode_speedup_vs_ar,tok_s_p25,tok_s_p75,speedup_vs_ar,tpf_median,ms_per_token_median,ttft_ms_median,acceptance_rate,mean_accepted_prefix,mean_committed_per_cycle,cycles,proposal_ms,verify_ms,commit_ms,overhead_ms,lossless
ar,16384,3,7.432,7.4293,0.0074,42.8595,1.0,7.421,7.435,1.0,1.0,134.5547,14232.6,0.0,0.0,0.0,384,0.0,0.0,0.0,0.0,True
uno_k2,16384,3,7.682,7.678,0.0135,46.671,1.0889,7.663,7.689,1.0336,1.2673,130.175,13914.9,0.58,0.58,2.56,150,28.6779,25.076,0.2736,0.8282,False
uno_k4,16384,3,7.69,7.6877,0.0216,47.9311,1.1183,7.665,7.708,1.0347,1.4382,130.0438,13974.1,0.3106,0.9318,2.9091,132,30.7998,28.7521,0.2836,0.8404,False
uno_k8,16384,3,7.427,7.4253,0.0395,41.436,0.9668,7.385,7.464,0.9993,1.5802,134.6453,14145.5,0.175,1.225,3.2,120,34.7407,41.2726,0.3193,0.9163,False
ar,2048,3,31.292,31.334,0.0798,47.1872,1.0,31.284,31.426,1.0,1.0,31.957,1377.0,0.0,0.0,0.0,384,0.0,0.0,0.0,0.0,True
uno_k2,2048,3,34.278,34.2713,0.1231,54.1776,1.1481,34.145,34.391,1.0954,1.3196,29.1734,1371.6,0.7083,0.7083,2.6667,144,25.2371,22.8349,0.2622,0.8158,False
uno_k4,2048,3,37.361,37.3863,0.1102,62.366,1.3217,37.291,37.507,1.1939,1.6203,26.7664,1373.7,0.4444,1.3333,3.2821,117,26.1594,25.326,0.2866,0.8397,False
uno_k8,2048,3,33.875,33.9283,0.1646,53.2579,1.1287,33.797,34.113,1.0825,1.5422,29.5203,1375.2,0.1672,1.1707,3.122,123,28.0934,29.2852,0.307,0.912,False
ar,512,3,42.441,42.4717,0.1582,47.9275,1.0,42.331,42.643,1.0,1.0,23.5625,345.3,0.0,0.0,0.0,384,0.0,0.0,0.0,0.0,True
uno_k2,512,3,48.951,48.9467,0.2835,56.4225,1.1772,48.661,49.228,1.1534,1.3474,20.4281,346.1,0.7234,0.7234,2.7234,141,24.7251,22.4409,0.2545,0.8348,False
uno_k4,512,3,58.283,58.2707,0.125,69.2004,1.4439,58.14,58.389,1.3733,1.7534,17.1578,345.7,0.5185,1.5556,3.5556,108,25.5276,24.7027,0.292,0.85,False
uno_k8,512,3,53.981,53.95,0.2102,63.1849,1.3183,53.726,54.143,1.2719,1.7534,18.525,345.7,0.2381,1.6667,3.5556,108,27.0471,28.008,0.3199,0.88,False
ar,8192,3,14.24,14.1643,0.1505,44.6288,1.0,13.991,14.262,1.0,1.0,70.2258,6116.8,0.0,0.0,0.0,384,0.0,0.0,0.0,0.0,True
uno_k2,8192,3,15.138,15.1133,0.0646,54.6588,1.2247,15.04,15.162,1.0631,1.4066,66.0578,6113.3,0.8667,0.8667,2.8444,135,27.1497,23.7869,0.2393,0.7599,True
uno_k4,8192,3,15.678,15.6827,0.0136,62.3356,1.3968,15.672,15.698,1.101,1.7534,63.782,6110.7,0.5463,1.6389,3.5556,108,28.8687,27.0418,0.2693,0.83,True
uno_k8,8192,3,15.485,15.4753,0.0221,59.2565,1.3278,15.45,15.491,1.0874,1.9692,64.5789,6107.0,0.2857,2.0,4.0,96,31.9843,34.3001,0.2987,0.8869,False
