arm,context_length,j,p_survive
uno_k2,16384,1,0.58
uno_k2,16384,2,0.0
uno_k4,16384,1,0.54545
uno_k4,16384,2,0.27273
uno_k4,16384,3,0.11364
uno_k4,16384,4,0.0
uno_k8,16384,1,0.6
uno_k8,16384,2,0.325
uno_k8,16384,3,0.15
uno_k8,16384,4,0.075
uno_k8,16384,5,0.025
uno_k8,16384,6,0.025
uno_k8,16384,7,0.025
uno_k8,16384,8,0.0
uno_k2,2048,1,0.70833
uno_k2,2048,2,0.0
uno_k4,2048,1,0.69231
uno_k4,2048,2,0.41026
uno_k4,2048,3,0.23077
uno_k4,2048,4,0.0
uno_k8,2048,1,0.63415
uno_k8,2048,2,0.31707
uno_k8,2048,3,0.17073
uno_k8,2048,4,0.04878
uno_k8,2048,5,0.0
uno_k2,512,1,0.7234
uno_k2,512,2,0.0
uno_k4,512,1,0.69444
uno_k4,512,2,0.55556
uno_k4,512,3,0.30556
uno_k4,512,4,0.0
uno_k8,512,1,0.75
uno_k8,512,2,0.52778
uno_k8,512,3,0.22222
uno_k8,512,4,0.11111
uno_k8,512,5,0.05556
uno_k8,512,6,0.0
uno_k2,8192,1,0.86667
uno_k2,8192,2,0.0
uno_k4,8192,1,0.75
uno_k4,8192,2,0.55556
uno_k4,8192,3,0.33333
uno_k4,8192,4,0.0
uno_k8,8192,1,0.71875
uno_k8,8192,2,0.53125
uno_k8,8192,3,0.3125
uno_k8,8192,4,0.25
uno_k8,8192,5,0.1875
uno_k8,8192,6,0.0
