arm,category,rows,tok_s_median,tok_s_mean,tok_s_sd,decode_tok_s_median,decode_speedup_vs_ar,tok_s_p25,tok_s_p75,speedup_vs_ar,tpf_median,ms_per_token_median,ttft_ms_median,acceptance_rate,mean_accepted_prefix,mean_committed_per_cycle,cycles,proposal_ms,verify_ms,commit_ms,overhead_ms,lossless
ar,code,9,47.23,47.2794,0.3714,48.1964,,47.146,47.538,,1.0,21.1734,55.5,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,dialogue,9,47.291,47.4132,0.2419,48.2345,,47.266,47.656,,1.0,21.1453,55.2,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,factual,9,47.791,47.7992,0.0383,48.1964,,47.772,47.831,,1.0,20.9242,22.5,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,high_entropy,9,47.718,47.7192,0.0709,48.1819,,47.676,47.762,,1.0,20.9563,25.6,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,math,9,47.249,47.4047,0.3857,48.1946,,47.2,47.729,,1.0,21.1648,54.7,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,prose,9,47.767,47.7027,0.1957,48.1946,,47.69,47.786,,1.0,20.9352,23.7,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,reasoning,9,47.238,47.2587,0.0665,48.2018,,47.214,47.314,,1.0,21.1695,55.1,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,structured,9,47.273,47.2589,0.058,48.2146,,47.227,47.288,,1.0,21.1539,54.8,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,technical,9,47.337,47.4206,0.2353,48.2,,47.25,47.507,,1.0,21.125,48.5,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ngram2_k4,code,9,72.878,69.8839,17.5831,73.9414,,48.365,87.759,,1.6623,13.7219,55.0,0.5455,0.5216,1.5059,765,0.0,21.8741,0.2034,0.5042,False
ngram2_k4,dialogue,9,54.233,72.9024,28.3083,55.0041,,53.893,110.588,,1.2075,18.4391,49.0,0.3968,0.5136,1.4942,771,0.0,21.5353,0.1824,0.5048,True
ngram2_k4,factual,9,56.75,57.706,6.4852,57.322,,51.093,65.459,,1.2549,17.6211,22.5,0.5185,0.2791,1.2757,903,0.0,21.4293,0.1813,0.4973,False
ngram2_k4,high_entropy,9,86.633,102.4546,26.2121,88.1421,,83.39,137.278,,2.0,11.543,24.8,0.913,1.3274,2.2857,504,0.0,22.3134,0.2085,0.5113,False
ngram2_k4,math,9,62.951,62.7061,6.0985,64.702,,55.655,69.516,,1.4382,15.8852,48.8,0.4943,0.4444,1.4222,810,0.0,21.7865,0.1975,0.4966,False
ngram2_k4,prose,9,63.8,58.4837,9.7921,64.5324,,45.583,66.006,,1.4382,15.6742,22.8,0.4713,0.2791,1.2757,903,0.0,21.5127,0.1902,0.4981,False
ngram2_k4,reasoning,9,50.954,53.4382,5.2822,52.1173,,49.117,60.34,,1.1636,19.6258,56.0,0.25,0.2038,1.2038,957,0.0,21.5568,0.1837,0.4983,True
ngram2_k4,structured,9,52.398,62.9152,19.7133,53.6148,,47.518,88.91,,1.1743,19.0844,54.6,0.3509,0.3276,1.3241,870,0.0,21.4457,0.1824,0.4822,False
ngram2_k4,technical,9,48.892,48.9214,0.6287,49.3637,,48.243,49.564,,1.0756,20.4531,28.4,0.2292,0.0938,1.0909,1056,0.0,21.316,0.1754,0.4923,False
ngram3_k4,code,9,65.515,64.1658,14.8984,66.3763,,46.433,80.262,,1.4713,15.2641,54.3,0.5769,0.3978,1.3763,837,0.0,21.6789,0.1941,0.4945,False
ngram3_k4,dialogue,9,50.467,69.4227,28.638,51.1673,,50.234,107.584,,1.113,19.8148,48.6,0.4103,0.3971,1.3863,831,0.0,21.3207,0.1814,0.496,True
ngram3_k4,factual,9,54.567,53.1373,4.4423,55.0964,,48.175,57.197,,1.1963,18.3258,22.5,0.6042,0.1804,1.1743,981,0.0,21.2461,0.173,0.492,False
ngram3_k4,high_entropy,9,81.481,97.5068,30.5844,82.7997,,73.101,137.918,,1.8551,12.2727,24.9,0.7826,1.1311,2.0984,549,0.0,22.0339,0.1931,0.4989,False
ngram3_k4,math,9,59.85,59.8186,6.0526,61.4616,,52.988,66.657,,1.3474,16.7086,48.7,0.5769,0.3462,1.3427,858,0.0,21.4816,0.1855,0.5027,False
ngram3_k4,prose,9,63.568,58.1943,8.5986,64.3022,,46.811,64.241,,1.4066,15.7312,23.1,0.8125,0.2664,1.2632,912,0.0,21.403,0.179,0.4956,False
ngram3_k4,reasoning,9,50.018,51.0078,3.6916,51.1366,,47.605,55.642,,1.1228,19.993,55.0,0.3333,0.1395,1.1395,1011,0.0,21.3742,0.1764,0.4974,True
ngram3_k4,structured,9,47.321,54.9147,13.4097,48.3274,,44.847,72.662,,1.0407,21.132,55.2,0.6667,0.181,1.1779,978,0.0,21.3896,0.1756,0.4974,False
ngram3_k4,technical,9,47.714,47.6879,1.3514,48.1583,,46.191,48.431,,1.0407,20.9586,29.0,0.25,0.0549,1.0549,1092,0.0,21.1201,0.1681,0.4932,False
refine1_k4,code,9,56.78,57.8421,3.4486,58.2374,,55.069,61.98,,1.4713,17.6117,54.9,0.3256,1.0234,3.0,384,25.3741,24.5392,0.2959,0.5702,False
refine1_k4,dialogue,9,61.325,56.6221,7.9749,62.7913,,46.026,62.383,,1.5802,16.3063,48.7,0.425,0.9173,2.8872,399,25.3207,24.5319,0.2837,0.5662,False
refine1_k4,factual,9,59.059,61.0133,6.1244,59.6848,,55.218,68.685,,1.5059,16.932,22.5,0.3492,1.1463,3.122,369,25.379,24.5255,0.2783,0.5758,False
refine1_k4,high_entropy,9,68.565,68.4656,14.4343,69.4897,,51.766,84.774,,1.7534,14.5844,24.8,0.5463,1.4779,3.3982,339,25.3696,24.5544,0.2728,0.5667,False
refine1_k4,math,9,62.726,60.2363,5.0624,64.2603,,53.941,63.934,,1.6203,15.9422,48.7,0.453,1.187,3.122,369,25.3819,24.546,0.2937,0.578,False
refine1_k4,prose,9,54.03,57.254,7.4446,54.5447,,50.967,66.939,,1.3763,18.5086,22.9,0.2681,0.9394,2.9091,396,25.3419,24.5251,0.2867,0.5638,False
refine1_k4,reasoning,9,62.522,60.1426,4.2682,64.2732,,54.584,63.382,,1.6203,15.9945,54.4,0.4359,1.1545,3.122,369,25.3643,24.5528,0.2819,0.5623,True
refine1_k4,structured,9,63.295,62.1624,5.2836,64.2119,,55.621,67.41,,1.6203,15.7992,54.9,0.4444,1.2521,3.2269,357,25.3833,24.5305,0.2873,0.5615,False
refine1_k4,technical,9,51.057,51.088,0.3862,52.1534,,50.691,51.544,,1.3196,19.5859,29.1,0.2222,0.6621,2.6483,435,25.3787,24.5498,0.2916,0.5602,False
refine2_k4,code,9,50.988,51.0199,1.9136,52.1449,,49.065,52.604,,1.3196,19.6125,55.5,0.6771,1.9897,3.9588,291,50.6866,24.5217,0.2775,0.5767,False
refine2_k4,dialogue,9,51.142,50.9348,6.3467,52.1555,,43.51,58.04,,1.3196,19.5539,48.9,0.6979,1.9796,3.9184,294,50.6725,24.5644,0.2762,0.5711,False
refine2_k4,factual,9,53.352,54.5904,3.3772,53.863,,51.657,58.955,,1.3617,18.7437,22.6,0.7204,2.2527,4.2198,273,50.753,24.5665,0.2648,0.5767,False
refine2_k4,high_entropy,9,56.824,54.6651,6.8186,57.4713,,45.958,60.97,,1.4545,17.5984,24.9,0.8391,2.2174,4.1739,276,50.714,24.584,0.2619,0.5832,False
refine2_k4,math,9,52.725,51.7417,2.5842,53.8086,,48.58,54.02,,1.3617,18.9664,48.9,0.7204,2.1053,4.0421,285,50.7657,24.6053,0.2766,0.5947,False
refine2_k4,prose,9,51.711,50.0591,5.2099,52.1853,,43.503,55.063,,1.3196,19.3383,22.9,0.6667,1.87,3.84,300,50.7041,24.5809,0.2714,0.5715,False
refine2_k4,reasoning,9,52.473,51.6821,1.7343,53.7161,,49.522,53.073,,1.3617,19.057,56.1,0.7312,2.1158,4.0421,285,50.7751,24.5781,0.2651,0.5787,True
refine2_k4,structured,9,52.467,51.1671,2.0177,53.7003,,48.493,52.562,,1.3617,19.0594,55.1,0.7097,2.0104,4.0,288,50.7784,24.5851,0.2784,0.5882,False
refine2_k4,technical,9,46.597,46.1619,1.0853,47.566,,44.912,47.089,,1.2075,21.4609,29.2,0.5619,1.6355,3.5888,321,50.7555,24.5608,0.2867,0.5798,False
refine4_k4,code,9,36.687,36.7576,0.3518,37.0574,,36.475,37.127,,0.9412,27.2578,54.3,0.9259,2.7778,4.7407,243,101.3136,24.5809,0.2531,0.5905,False
refine4_k4,dialogue,9,36.746,36.5756,1.1199,37.0445,,35.217,37.745,,0.9412,27.2141,48.9,0.9506,2.8395,4.7407,243,101.457,24.6085,0.2483,0.5926,False
refine4_k4,factual,9,36.828,37.1299,0.9038,37.066,,36.815,38.153,,0.9412,27.1531,22.5,0.963,2.9,4.8,240,101.3969,24.5949,0.2518,0.5837,False
refine4_k4,high_entropy,9,38.141,36.8551,1.9254,38.435,,34.359,38.175,,0.9771,26.2188,24.8,0.9744,2.7901,4.7407,243,101.3554,24.5613,0.2491,0.5899,False
refine4_k4,math,9,36.465,36.6098,0.2951,36.9867,,36.405,36.793,,0.9412,27.4242,48.7,0.9383,2.8148,4.7407,243,101.5128,24.5751,0.2615,0.6126,False
refine4_k4,prose,9,36.824,36.421,1.7641,37.0649,,34.251,38.215,,0.9412,27.1562,22.8,0.9383,2.7439,4.6829,246,101.3768,24.5673,0.2568,0.5935,False
refine4_k4,reasoning,9,36.721,37.0062,0.6527,37.0338,,36.467,37.819,,0.9412,27.232,54.3,0.963,2.875,4.8,240,101.3786,24.6259,0.2497,0.5852,True
refine4_k4,structured,9,36.706,36.5818,1.1536,37.0145,,35.196,37.773,,0.9412,27.2438,54.3,0.9259,2.7531,4.7407,243,101.3854,24.5935,0.2539,0.5823,False
refine4_k4,technical,9,34.226,34.9044,1.3562,34.4986,,34.006,36.63,,0.8767,29.2172,29.0,0.8391,2.5765,4.5176,255,101.433,24.6425,0.2525,0.5709,False
uno_k4,code,9,56.923,57.9814,3.4446,58.3223,,55.057,61.972,,1.4713,17.5672,54.3,0.3256,1.0234,3.0,384,25.3481,24.5591,0.3054,0.866,False
uno_k4,dialogue,9,61.21,56.6084,7.9467,62.6744,,46.075,62.532,,1.5802,16.3375,48.9,0.425,0.9173,2.8872,399,25.3509,24.536,0.2921,0.8138,False
uno_k4,factual,9,59.093,61.076,6.1007,59.721,,55.261,68.767,,1.5059,16.9227,22.5,0.3492,1.1463,3.122,369,25.377,24.5096,0.2826,0.8215,False
uno_k4,high_entropy,9,68.804,68.4993,14.4068,69.7396,,51.824,84.914,,1.7534,14.5344,24.8,0.5463,1.4779,3.3982,339,25.409,24.5304,0.2802,0.8166,False
uno_k4,math,9,62.999,60.3626,4.979,64.5487,,53.989,63.754,,1.6203,15.8734,49.0,0.453,1.187,3.122,369,25.4043,24.5163,0.2907,0.8297,False
uno_k4,prose,9,54.007,57.1938,7.46,54.5238,,50.693,66.82,,1.3763,18.5164,23.3,0.2681,0.9394,2.9091,396,25.3838,24.5289,0.2873,0.8225,False
uno_k4,reasoning,9,62.35,60.14,4.2965,64.1122,,54.501,63.474,,1.6203,16.0383,55.2,0.4359,1.1545,3.122,369,25.3801,24.5275,0.2865,0.813,True
uno_k4,structured,9,63.365,62.1933,5.2737,64.2732,,55.682,67.467,,1.6203,15.7812,54.7,0.4444,1.2521,3.2269,357,25.4066,24.5185,0.2881,0.8174,False
uno_k4,technical,9,51.01,51.0778,0.4225,52.1406,,50.73,51.529,,1.3196,19.6039,29.2,0.2222,0.6621,2.6483,435,25.4058,24.5418,0.2928,0.8252,False
