arm,accepted,probability
ngram2_k4,0,0.83924
ngram2_k4,1,0.04099
ngram2_k4,2,0.01472
ngram2_k4,3,0.10505
ngram3_k4,0,0.88483
ngram3_k4,1,0.01416
ngram3_k4,2,0.02162
ngram3_k4,3,0.07939
refine1_k4,0,0.40211
refine1_k4,1,0.27392
refine1_k4,2,0.17647
refine1_k4,3,0.1475
refine2_k4,0,0.0333
refine2_k4,1,0.3008
refine2_k4,2,0.28703
refine2_k4,3,0.37887
refine4_k4,0,0.03689
refine4_k4,1,0.03689
refine4_k4,2,0.03142
refine4_k4,3,0.89481
uno_k4,0,0.40211
uno_k4,1,0.27392
uno_k4,2,0.17647
uno_k4,3,0.1475
