arm,context_length,j,p_survive
ngram2_k4,,1,0.16076
ngram2_k4,,2,0.11978
ngram2_k4,,3,0.10505
ngram2_k4,,4,0.0
ngram3_k4,,1,0.11517
ngram3_k4,,2,0.10101
ngram3_k4,,3,0.07939
ngram3_k4,,4,0.0
refine1_k4,,1,0.59789
refine1_k4,,2,0.32397
refine1_k4,,3,0.1475
refine1_k4,,4,0.0
refine2_k4,,1,0.9667
refine2_k4,,2,0.6659
refine2_k4,,3,0.37887
refine2_k4,,4,0.0
refine4_k4,,1,0.96311
refine4_k4,,2,0.92623
refine4_k4,,3,0.89481
refine4_k4,,4,0.0
uno_k4,,1,0.59789
uno_k4,,2,0.32397
uno_k4,,3,0.1475
uno_k4,,4,0.0
