arm,category,rows,tok_s_median,tok_s_mean,tok_s_sd,decode_tok_s_median,decode_speedup_vs_ar,tok_s_p25,tok_s_p75,speedup_vs_ar,tpf_median,ms_per_token_median,ttft_ms_median,acceptance_rate,mean_accepted_prefix,mean_committed_per_cycle,cycles,proposal_ms,verify_ms,commit_ms,overhead_ms,lossless
ar,code,9,48.334,48.382,0.5159,49.2611,,48.008,48.709,,1.0,20.6891,53.1,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,dialogue,9,47.351,47.4783,0.9898,48.0462,,47.075,48.48,,1.0,21.1187,53.7,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,factual,9,48.833,48.7196,0.3857,49.2402,,48.367,49.084,,1.0,20.4781,22.0,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,high_entropy,9,48.396,48.1251,0.9832,48.8494,,47.157,48.949,,1.0,20.6625,25.0,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,math,9,48.488,48.0512,1.0264,49.4801,,47.298,48.66,,1.0,20.6234,53.3,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,prose,9,49.07,48.7019,0.7205,49.5778,,48.208,49.149,,1.0,20.3789,23.1,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,reasoning,9,47.878,47.7871,0.6691,48.8811,,47.072,48.289,,1.0,20.8859,54.8,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,structured,9,48.469,47.872,1.0,49.4896,,46.74,48.542,,1.0,20.632,54.5,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
ar,technical,9,48.456,48.1644,0.8074,49.4495,,47.451,48.62,,1.0,20.6375,47.9,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,True
uno_k1,code,9,39.316,39.3582,0.5194,39.9738,,39.206,39.742,,0.9922,25.4352,53.5,0.0,0.0,2.0,576,28.0515,20.9678,0.2386,0.7748,False
uno_k1,dialogue,9,38.594,38.7002,0.7541,39.0422,,38.411,39.364,,0.9922,25.9109,49.1,0.0,0.0,2.0,576,28.6731,21.5057,0.2392,0.7946,False
uno_k1,factual,9,39.672,39.5158,0.4067,39.9463,,39.199,39.847,,0.9922,25.2063,22.0,0.0,0.0,2.0,576,28.1084,20.9581,0.2351,0.7653,False
uno_k1,high_entropy,9,39.411,39.1614,0.7897,39.7121,,38.216,39.848,,0.9922,25.3734,24.4,0.0,0.0,2.0,576,28.192,21.0947,0.2485,0.8127,False
uno_k1,math,9,39.52,39.1541,0.8538,40.109,,38.39,39.783,,0.9922,25.3031,47.6,0.0,0.0,2.0,576,27.9674,20.8899,0.243,0.811,False
uno_k1,prose,9,39.856,39.6447,0.5962,40.138,,39.452,39.933,,0.9922,25.0906,22.3,0.0,0.0,2.0,576,27.9442,20.8898,0.2364,0.7707,False
uno_k1,reasoning,9,39.05,39.0432,0.4711,39.7195,,38.734,39.437,,0.9922,25.6078,54.6,0.0,0.0,2.0,576,28.1959,21.0966,0.2401,0.7959,False
uno_k1,structured,9,39.439,39.0083,0.853,40.104,,38.177,39.491,,0.9922,25.3555,53.8,0.0,0.0,2.0,576,27.9602,20.8751,0.2409,0.7807,True
uno_k1,technical,9,39.5,39.3551,0.5847,40.1418,,38.744,39.812,,0.9922,25.3164,27.8,0.0,0.0,2.0,576,27.9133,20.8966,0.2347,0.7756,False
uno_k16,code,9,23.214,24.7283,2.6891,23.4471,,22.722,27.685,,1.4382,43.0773,53.8,0.0606,1.088,3.072,375,61.8694,60.8558,0.3025,0.9559,False
uno_k16,dialogue,9,26.463,25.7577,4.5627,26.7257,,20.611,29.926,,1.6623,37.7891,47.6,0.0912,1.1736,3.1736,363,62.6951,61.9209,0.3173,1.0317,True
