arm,accepted,probability
uno_k1,0,1.0
uno_k16,0,0.39776
uno_k16,1,0.27358
uno_k16,2,0.16993
uno_k16,3,0.0803
uno_k16,4,0.04482
uno_k16,5,0.01587
uno_k16,6,0.00747
uno_k16,7,0.0028
uno_k16,9,0.00093
uno_k16,10,0.00093
uno_k16,11,0.00093
uno_k16,13,0.00093
uno_k16,15,0.00373
uno_k2,0,0.3798
uno_k2,1,0.6202
uno_k4,0,0.40211
uno_k4,1,0.27392
uno_k4,2,0.17647
uno_k4,3,0.1475
uno_k8,0,0.39241
uno_k8,1,0.29476
uno_k8,2,0.17631
uno_k8,3,0.08228
uno_k8,4,0.03165
uno_k8,5,0.00904
uno_k8,6,0.00362
uno_k8,7,0.00995
