arm,context_length,j,p_survive
uno_k1,,1,0.0
uno_k16,,1,0.60224
uno_k16,,2,0.32866
uno_k16,,3,0.15873
uno_k16,,4,0.07843
uno_k16,,5,0.03361
uno_k16,,6,0.01774
uno_k16,,7,0.01027
uno_k16,,8,0.00747
uno_k16,,9,0.00747
uno_k16,,10,0.00654
uno_k16,,11,0.0056
uno_k16,,12,0.00467
uno_k16,,13,0.00467
uno_k16,,14,0.00373
uno_k16,,15,0.00373
uno_k16,,16,0.0
uno_k2,,1,0.6202
uno_k2,,2,0.0
uno_k4,,1,0.59789
uno_k4,,2,0.32397
uno_k4,,3,0.1475
uno_k4,,4,0.0
uno_k8,,1,0.60759
uno_k8,,2,0.31284
uno_k8,,3,0.13653
uno_k8,,4,0.05425
uno_k8,,5,0.0226
uno_k8,,6,0.01356
uno_k8,,7,0.00995
uno_k8,,8,0.0
